subject	session	n_frames	n_censored	pct_censored	post_std_GSR	post_std_NoGSR	status	elapsed_seconds	timestamp
sub-01	ses-02	240	41	17.08	27.1011	27.4226	DONE	148.7	2026-05-07T09:46:20
sub-02	ses-01	240	3	1.25	25.6156	25.9910	DONE	150.4	2026-05-07T09:48:50
sub-02	ses-02	240	37	15.42	26.1826	26.8038	DONE	143.2	2026-05-07T09:51:13
sub-03	ses-01	240	25	10.42	25.3361	26.2379	DONE	142.2	2026-05-07T09:53:35
sub-03	ses-02	240	47	19.58	29.9002	31.1171	DONE	148.6	2026-05-07T09:56:04
sub-04	ses-01	240	29	12.08	21.7760	22.3345	DONE	140.8	2026-05-07T09:58:25
sub-04	ses-02	240	32	13.33	25.0250	26.0439	DONE	145.1	2026-05-07T10:00:50
sub-05	ses-01	240	74	30.83	24.2126	24.7463	DONE	161.7	2026-05-07T10:03:31
sub-05	ses-02	240	75	31.25	23.8080	24.2750	DONE	153.5	2026-05-07T10:06:05
sub-07	ses-01	240	36	15.00	22.6914	22.9072	DONE	143.4	2026-05-07T10:08:28
sub-07	ses-02	240	88	36.67	23.1124	24.0291	DONE	153.2	2026-05-07T10:11:02
sub-09	ses-01	240	24	10.00	27.7196	28.0087	DONE	146.0	2026-05-07T10:13:28
sub-09	ses-02	240	19	7.92	23.5421	23.8491	DONE	149.1	2026-05-07T10:15:57
sub-10	ses-01	240	94	39.17	23.3582	23.5592	DONE	167.4	2026-05-07T10:18:44
sub-10	ses-02	240	115	47.92	20.4551	20.7262	DONE	172.4	2026-05-07T10:21:37
sub-11	ses-01	240	118	49.17	28.1128	28.6692	DONE	169.2	2026-05-07T10:24:26
sub-11	ses-02	240	78	32.50	27.2356	27.5568	DONE	144.8	2026-05-07T10:26:51
sub-13	ses-01	240	37	15.42	23.0953	23.5472	DONE	138.3	2026-05-07T10:29:09
sub-13	ses-02	240	51	21.25	20.7431	21.0777	DONE	138.3	2026-05-07T10:31:27
sub-14	ses-01	240	6	2.50	26.3117	26.9081	DONE	148.1	2026-05-07T10:33:55
sub-14	ses-02	240	3	1.25	32.0722	32.5805	DONE	146.6	2026-05-07T10:36:22
sub-15	ses-01	240	99	41.25	24.1622	24.3160	DONE	153.5	2026-05-07T10:38:55
sub-15	ses-02	240	105	43.75	23.5316	24.0146	DONE	157.5	2026-05-07T10:41:33
sub-16	ses-01	240	79	32.92	22.0159	22.2936	DONE	149.7	2026-05-07T10:44:03
sub-16	ses-02	240	79	32.92	24.7304	24.9029	DONE	145.7	2026-05-07T10:46:28
sub-17	ses-01	240	94	39.17	20.4488	20.7894	DONE	156.3	2026-05-07T10:49:05
sub-17	ses-02	240	84	35.00	23.2195	23.4370	DONE	149.4	2026-05-07T10:51:34
sub-18	ses-01	240	0	0.00	22.3697	22.5897	DONE	139.5	2026-05-07T10:53:53
sub-18	ses-02	240	2	0.83	27.9974	28.2653	DONE	145.6	2026-05-07T10:56:19
sub-19	ses-01	240	13	5.42	19.4103	19.6345	DONE	131.7	2026-05-07T10:58:31
sub-19	ses-02	240	45	18.75	19.9036	20.0989	DONE	136.3	2026-05-07T11:00:47
sub-20	ses-01	240	29	12.08	31.7938	32.2093	DONE	136.2	2026-05-07T11:03:03
sub-20	ses-02	240	45	18.75	28.2861	28.8789	DONE	139.0	2026-05-07T11:05:22
sub-21	ses-01	240	116	48.33	21.3878	21.6882	DONE	153.6	2026-05-07T11:07:56
sub-21	ses-02	240	83	34.58	23.1330	23.4548	DONE	141.8	2026-05-07T11:10:18
sub-22	ses-01	240	46	19.17	22.3338	22.5459	DONE	136.9	2026-05-07T11:12:35
sub-22	ses-02	240	77	32.08	26.9438	27.6142	DONE	141.8	2026-05-07T11:14:56
sub-23	ses-01	240	47	19.58	20.0245	20.1957	DONE	140.1	2026-05-07T11:17:16
sub-23	ses-02	240	40	16.67	27.1400	27.4690	DONE	139.1	2026-05-07T11:19:35
sub-24	ses-01	240	78	32.50	23.8507	24.4087	DONE	137.8	2026-05-07T11:21:53
sub-24	ses-02	240	76	31.67	22.1393	22.4667	DONE	137.1	2026-05-07T11:24:10
sub-25	ses-01	240	64	26.67	26.3479	26.8637	DONE	132.1	2026-05-07T11:26:23
sub-25	ses-02	240	9	3.75	25.2109	25.6107	DONE	132.8	2026-05-07T11:28:35
sub-27	ses-01	240	45	18.75	26.9606	27.1979	DONE	135.9	2026-05-07T11:30:51
sub-27	ses-02	240	13	5.42	28.5117	28.9285	DONE	136.1	2026-05-07T11:33:07
sub-28	ses-01	240	22	9.17	26.5801	26.9065	DONE	141.2	2026-05-07T11:35:29
sub-28	ses-02	240	10	4.17	25.0977	25.5598	DONE	149.6	2026-05-07T11:37:58
sub-29	ses-01	240	78	32.50	25.2275	25.7190	DONE	141.4	2026-05-07T11:40:20
sub-29	ses-02	240	86	35.83	23.5359	23.8507	DONE	139.4	2026-05-07T11:42:39
sub-30	ses-01	240	96	40.00	23.2161	23.6205	DONE	153.7	2026-05-07T11:45:13
sub-30	ses-02	240	51	21.25	26.0504	26.3416	DONE	135.6	2026-05-07T11:47:28
sub-31	ses-01	240	36	15.00	21.9248	22.4556	DONE	128.7	2026-05-07T11:49:37
sub-31	ses-02	240	14	5.83	24.2689	24.4939	DONE	130.7	2026-05-07T11:51:48
sub-32	ses-01	240	12	5.00	27.3307	27.8415	DONE	133.4	2026-05-07T11:54:01
sub-32	ses-02	240	32	13.33	23.6801	24.0871	DONE	130.8	2026-05-07T11:56:12
sub-33	ses-01	240	101	42.08	22.9810	23.2283	DONE	147.6	2026-05-07T11:58:39
sub-33	ses-02	240	119	49.58	21.7819	22.1426	DONE	150.7	2026-05-07T12:01:10
sub-34	ses-01	240	84	35.00	23.3272	23.5248	DONE	142.8	2026-05-07T12:03:33
sub-34	ses-02	240	34	14.17	26.3817	26.9219	DONE	134.3	2026-05-07T12:05:47
sub-35	ses-01	240	35	14.58	20.4073	20.5114	DONE	133.8	2026-05-07T12:08:01
sub-35	ses-02	240	16	6.67	21.4045	21.6353	DONE	133.2	2026-05-07T12:10:14
sub-37	ses-01	240	18	7.50	23.7093	24.1884	DONE	138.6	2026-05-07T12:12:33
sub-37	ses-02	240	43	17.92	27.3607	27.6584	DONE	138.7	2026-05-07T12:14:51
sub-38	ses-01	240	37	15.42	23.5078	23.7742	DONE	133.9	2026-05-07T12:17:05
sub-38	ses-02	240	23	9.58	24.2890	24.5238	DONE	131.9	2026-05-07T12:19:17
sub-39	ses-01	240	24	10.00	24.7376	25.0632	DONE	132.6	2026-05-07T12:21:30
sub-39	ses-02	240	11	4.58	24.4898	25.1025	DONE	137.8	2026-05-07T12:23:48
