subject,session,bold,mask,confounds,complete
sub-01,ses-01,True,True,True,True
sub-01,ses-02,True,True,True,True
sub-02,ses-01,True,True,True,True
sub-02,ses-02,True,True,True,True
sub-03,ses-01,True,True,True,True
sub-03,ses-02,True,True,True,True
sub-04,ses-01,True,True,True,True
sub-04,ses-02,True,True,True,True
sub-05,ses-01,True,True,True,True
sub-05,ses-02,True,True,True,True
sub-06,ses-01,True,True,True,True
sub-06,ses-02,True,True,True,True
sub-07,ses-01,True,True,True,True
sub-07,ses-02,True,True,True,True
sub-08,ses-01,True,True,True,True
sub-08,ses-02,True,True,True,True
sub-09,ses-01,True,True,True,True
sub-09,ses-02,True,True,True,True
sub-10,ses-01,True,True,True,True
sub-10,ses-02,True,True,True,True
sub-11,ses-01,True,True,True,True
sub-11,ses-02,True,True,True,True
sub-12,ses-01,True,True,True,True
sub-12,ses-02,True,True,True,True
sub-13,ses-01,True,True,True,True
sub-13,ses-02,True,True,True,True
sub-14,ses-01,True,True,True,True
sub-14,ses-02,True,True,True,True
sub-15,ses-01,True,True,True,True
sub-15,ses-02,True,True,True,True
sub-16,ses-01,True,True,True,True
sub-16,ses-02,True,True,True,True
sub-17,ses-01,True,True,True,True
sub-17,ses-02,True,True,True,True
sub-18,ses-01,True,True,True,True
sub-18,ses-02,True,True,True,True
sub-19,ses-01,True,True,True,True
sub-19,ses-02,True,True,True,True
sub-20,ses-01,True,True,True,True
sub-20,ses-02,True,True,True,True
sub-21,ses-01,True,True,True,True
sub-21,ses-02,True,True,True,True
sub-22,ses-01,True,True,True,True
sub-22,ses-02,True,True,True,True
sub-23,ses-01,True,True,True,True
sub-23,ses-02,True,True,True,True
sub-24,ses-01,True,True,True,True
sub-24,ses-02,True,True,True,True
sub-25,ses-01,True,True,True,True
sub-25,ses-02,True,True,True,True
sub-26,ses-01,True,True,True,True
sub-26,ses-02,True,True,True,True
sub-27,ses-01,True,True,True,True
sub-27,ses-02,True,True,True,True
sub-28,ses-01,True,True,True,True
sub-28,ses-02,True,True,True,True
sub-29,ses-01,True,True,True,True
sub-29,ses-02,True,True,True,True
sub-30,ses-01,True,True,True,True
sub-30,ses-02,True,True,True,True
sub-31,ses-01,True,True,True,True
sub-31,ses-02,True,True,True,True
sub-32,ses-01,True,True,True,True
sub-32,ses-02,True,True,True,True
sub-33,ses-01,True,True,True,True
sub-33,ses-02,True,True,True,True
sub-34,ses-01,True,True,True,True
sub-34,ses-02,True,True,True,True
sub-35,ses-01,True,True,True,True
sub-35,ses-02,True,True,True,True
sub-36,ses-01,True,True,True,True
sub-36,ses-02,True,True,True,True
sub-37,ses-01,True,True,True,True
sub-37,ses-02,True,True,True,True
sub-38,ses-01,True,True,True,True
sub-38,ses-02,True,True,True,True
sub-39,ses-01,True,True,True,True
sub-39,ses-02,True,True,True,True
sub-40,ses-01,True,True,True,True
sub-40,ses-02,True,True,True,True
