subject	session	layer	n_rois	n_timepoints	status	elapsed_sec	timestamp
sub-01	ses-01	Interoception	11	240	DONE	6.5	2026-06-22T10:46:30
sub-01	ses-01	Exteroception	14	240	DONE	6.5	2026-06-22T10:46:30
sub-01	ses-01	Cognition	12	240	DONE	6.6	2026-06-22T10:46:30
sub-01	ses-01	Visual	55	240	DONE	6.6	2026-06-22T10:46:30
sub-01	ses-01	Motor	36	240	DONE	6.6	2026-06-22T10:46:30
sub-01	ses-01	Auditory	14	240	DONE	6.7	2026-06-22T10:46:30
sub-01	ses-02	Interoception	11	240	DONE	6.6	2026-06-22T10:46:37
sub-01	ses-02	Exteroception	14	240	DONE	6.7	2026-06-22T10:46:37
sub-01	ses-02	Cognition	12	240	DONE	6.7	2026-06-22T10:46:37
sub-01	ses-02	Visual	55	240	DONE	6.7	2026-06-22T10:46:37
sub-01	ses-02	Motor	36	240	DONE	6.7	2026-06-22T10:46:37
sub-01	ses-02	Auditory	14	240	DONE	6.8	2026-06-22T10:46:37
sub-02	ses-01	Interoception	11	240	DONE	6.8	2026-06-22T10:46:44
sub-02	ses-01	Exteroception	14	240	DONE	6.8	2026-06-22T10:46:44
sub-02	ses-01	Cognition	12	240	DONE	6.9	2026-06-22T10:46:44
sub-02	ses-01	Visual	55	240	DONE	6.9	2026-06-22T10:46:44
sub-02	ses-01	Motor	36	240	DONE	6.9	2026-06-22T10:46:44
sub-02	ses-01	Auditory	14	240	DONE	6.9	2026-06-22T10:46:44
sub-02	ses-02	Interoception	11	240	DONE	6.3	2026-06-22T10:46:50
sub-02	ses-02	Exteroception	14	240	DONE	6.3	2026-06-22T10:46:50
sub-02	ses-02	Cognition	12	240	DONE	6.3	2026-06-22T10:46:50
sub-02	ses-02	Visual	55	240	DONE	6.4	2026-06-22T10:46:50
sub-02	ses-02	Motor	36	240	DONE	6.4	2026-06-22T10:46:50
sub-02	ses-02	Auditory	14	240	DONE	6.4	2026-06-22T10:46:50
sub-03	ses-01	Interoception	11	240	DONE	6.9	2026-06-22T10:46:57
sub-03	ses-01	Exteroception	14	240	DONE	6.9	2026-06-22T10:46:57
sub-03	ses-01	Cognition	12	240	DONE	6.9	2026-06-22T10:46:57
sub-03	ses-01	Visual	55	240	DONE	7.0	2026-06-22T10:46:57
sub-03	ses-01	Motor	36	240	DONE	7.0	2026-06-22T10:46:57
sub-03	ses-01	Auditory	14	240	DONE	7.0	2026-06-22T10:46:57
sub-03	ses-02	Interoception	11	240	DONE	6.6	2026-06-22T10:47:04
sub-03	ses-02	Exteroception	14	240	DONE	6.6	2026-06-22T10:47:04
sub-03	ses-02	Cognition	12	240	DONE	6.6	2026-06-22T10:47:04
sub-03	ses-02	Visual	55	240	DONE	6.6	2026-06-22T10:47:04
sub-03	ses-02	Motor	36	240	DONE	6.7	2026-06-22T10:47:04
sub-03	ses-02	Auditory	14	240	DONE	6.7	2026-06-22T10:47:04
sub-04	ses-01	Interoception	11	240	DONE	6.7	2026-06-22T10:47:11
sub-04	ses-01	Exteroception	14	240	DONE	6.7	2026-06-22T10:47:11
sub-04	ses-01	Cognition	12	240	DONE	6.7	2026-06-22T10:47:11
sub-04	ses-01	Visual	55	240	DONE	6.8	2026-06-22T10:47:11
sub-04	ses-01	Motor	36	240	DONE	6.8	2026-06-22T10:47:11
sub-04	ses-01	Auditory	14	240	DONE	6.8	2026-06-22T10:47:11
sub-04	ses-02	Interoception	11	240	DONE	6.3	2026-06-22T10:47:17
sub-04	ses-02	Exteroception	14	240	DONE	6.3	2026-06-22T10:47:17
sub-04	ses-02	Cognition	12	240	DONE	6.3	2026-06-22T10:47:17
sub-04	ses-02	Visual	55	240	DONE	6.4	2026-06-22T10:47:17
sub-04	ses-02	Motor	36	240	DONE	6.4	2026-06-22T10:47:17
sub-04	ses-02	Auditory	14	240	DONE	6.4	2026-06-22T10:47:17
sub-05	ses-01	Interoception	11	240	DONE	6.6	2026-06-22T10:47:24
sub-05	ses-01	Exteroception	14	240	DONE	6.6	2026-06-22T10:47:24
sub-05	ses-01	Cognition	12	240	DONE	6.6	2026-06-22T10:47:24
sub-05	ses-01	Visual	55	240	DONE	6.7	2026-06-22T10:47:24
sub-05	ses-01	Motor	36	240	DONE	6.7	2026-06-22T10:47:24
sub-05	ses-01	Auditory	14	240	DONE	6.7	2026-06-22T10:47:24
sub-05	ses-02	Interoception	11	240	DONE	6.7	2026-06-22T10:47:31
sub-05	ses-02	Exteroception	14	240	DONE	6.7	2026-06-22T10:47:31
sub-05	ses-02	Cognition	12	240	DONE	6.8	2026-06-22T10:47:31
sub-05	ses-02	Visual	55	240	DONE	6.8	2026-06-22T10:47:31
sub-05	ses-02	Motor	36	240	DONE	6.8	2026-06-22T10:47:31
sub-05	ses-02	Auditory	14	240	DONE	6.8	2026-06-22T10:47:31
sub-07	ses-01	Interoception	11	240	DONE	7.3	2026-06-22T10:47:38
sub-07	ses-01	Exteroception	14	240	DONE	7.3	2026-06-22T10:47:38
sub-07	ses-01	Cognition	12	240	DONE	7.3	2026-06-22T10:47:38
sub-07	ses-01	Visual	55	240	DONE	7.3	2026-06-22T10:47:38
sub-07	ses-01	Motor	36	240	DONE	7.4	2026-06-22T10:47:38
sub-07	ses-01	Auditory	14	240	DONE	7.4	2026-06-22T10:47:38
sub-07	ses-02	Interoception	11	240	DONE	6.9	2026-06-22T10:47:45
sub-07	ses-02	Exteroception	14	240	DONE	6.9	2026-06-22T10:47:45
sub-07	ses-02	Cognition	12	240	DONE	6.9	2026-06-22T10:47:45
sub-07	ses-02	Visual	55	240	DONE	7.0	2026-06-22T10:47:45
sub-07	ses-02	Motor	36	240	DONE	7.0	2026-06-22T10:47:45
sub-07	ses-02	Auditory	14	240	DONE	7.0	2026-06-22T10:47:45
sub-09	ses-01	Interoception	11	240	DONE	7.0	2026-06-22T10:47:52
sub-09	ses-01	Exteroception	14	240	DONE	7.0	2026-06-22T10:47:52
sub-09	ses-01	Cognition	12	240	DONE	7.0	2026-06-22T10:47:52
sub-09	ses-01	Visual	55	240	DONE	7.0	2026-06-22T10:47:52
sub-09	ses-01	Motor	36	240	DONE	7.1	2026-06-22T10:47:52
sub-09	ses-01	Auditory	14	240	DONE	7.1	2026-06-22T10:47:52
sub-09	ses-02	Interoception	11	240	DONE	6.4	2026-06-22T10:47:59
sub-09	ses-02	Exteroception	14	240	DONE	6.4	2026-06-22T10:47:59
sub-09	ses-02	Cognition	12	240	DONE	6.4	2026-06-22T10:47:59
sub-09	ses-02	Visual	55	240	DONE	6.5	2026-06-22T10:47:59
sub-09	ses-02	Motor	36	240	DONE	6.5	2026-06-22T10:47:59
sub-09	ses-02	Auditory	14	240	DONE	6.5	2026-06-22T10:47:59
