parcel_id	parcel_name	hemisphere
1	L_V1	L
2	L_MST	L
3	L_V6	L
4	L_V2	L
5	L_V3	L
6	L_V4	L
7	L_V8	L
8	L_4	L
9	L_3b	L
10	L_FEF	L
11	L_PEF	L
12	L_55b	L
13	L_V3A	L
14	L_RSC	L
15	L_POS2	L
16	L_V7	L
17	L_IPS1	L
18	L_FFC	L
19	L_V3B	L
20	L_LO1	L
21	L_LO2	L
22	L_PIT	L
23	L_MT	L
24	L_A1	L
25	L_PSL	L
26	L_SFL	L
27	L_PCV	L
28	L_STV	L
29	L_7Pm	L
30	L_7m	L
31	L_POS1	L
33	L_v23ab	L
35	L_31pv	L
36	L_5m	L
37	L_5mv	L
38	L_23c	L
39	L_5L	L
41	L_24dv	L
42	L_7AL	L
43	L_SCEF	L
44	L_6ma	L
45	L_7Am	L
46	L_7PL	L
47	L_7PC	L
48	L_LIPv	L
49	L_VIP	L
51	L_1	L
52	L_2	L
54	L_6d	L
55	L_6mp	L
56	L_6v	L
57	L_p24pr	L
58	L_33pr	L
59	L_a24pr	L
60	L_p32pr	L
62	L_d32	L
63	L_8BM	L
64	L_p32	L
65	L_10r	L
66	L_47m	L
67	L_8Av	L
70	L_8BL	L
71	L_9p	L
72	L_10d	L
73	L_8C	L
74	L_44	L
75	L_45	L
76	L_47l	L
77	L_a47r	L
79	L_IFJa	L
80	L_IFJp	L
81	L_IFSp	L
82	L_IFSa	L
83	L_p9-46v	L
84	L_46	L
86	L_9-46d	L
87	L_9a	L
88	L_10v	L
89	L_a10p	L
90	L_10pp	L
91	L_11l	L
92	L_13l	L
93	L_OFC	L
94	L_47s	L
95	L_LIPd	L
96	L_6a	L
97	L_i6-8	L
98	L_s6-8	L
99	L_43	L
100	L_OP4	L
101	L_OP1	L
102	L_OP2-3	L
103	L_52	L
104	L_RI	L
105	L_PFcm	L
107	L_TA2	L
108	L_FOP4	L
114	L_FOP3	L
115	L_FOP2	L
116	L_PFt	L
119	L_PreS	L
121	L_ProS	L
123	L_STGa	L
124	L_PBelt	L
125	L_A5	L
126	L_PHA1	L
127	L_PHA3	L
128	L_STSda	L
129	L_STSdp	L
130	L_STSvp	L
131	L_TGd	L
133	L_TE1p	L
134	L_TE2a	L
135	L_TF	L
136	L_TE2p	L
137	L_PHT	L
139	L_TPOJ1	L
140	L_TPOJ2	L
141	L_TPOJ3	L
142	L_DVT	L
143	L_PGp	L
144	L_IP2	L
145	L_IP1	L
146	L_IP0	L
147	L_PFop	L
148	L_PF	L
149	L_PFm	L
151	L_PGs	L
152	L_V6A	L
153	L_VMV1	L
154	L_VMV3	L
155	L_PHA2	L
156	L_V4t	L
157	L_FST	L
158	L_V3CD	L
159	L_LO3	L
160	L_VMV2	L
161	L_31pd	L
162	L_31a	L
163	L_VVC	L
164	L_25	L
165	L_s32	L
166	L_pOFC	L
167	L_PoI1	L
168	L_Ig	L
169	L_FOP5	L
170	L_p10p	L
171	L_p47r	L
172	L_TGv	L
173	L_MBelt	L
174	L_LBelt	L
175	L_A4	L
176	L_STSva	L
177	L_TE1m	L
178	L_PI	L
