Spatial overlap report
Self atlas : /BICNAS2/group-northoff/jkokino/codes/har_med_codes/02_timeseries_extraction/results/atlases/self_atlas_1mm.nii.gz
Radius     : 4.0mm
Checked    : 327
Removed    : 11
Clean      : 316

REMOVED:
17	R_IPS1_ROI	24.43	-74.36	38.00	9 voxels
32	R_23d_ROI	3.40	-21.66	38.75	42 voxels
47	R_7PC_ROI	37.11	-48.67	62.98	2 voxels
50	R_MIP_ROI	22.90	-66.33	47.25	2 voxels
60	R_p32pr_ROI	8.70	13.45	39.63	2 voxels
79	R_IFJa_ROI	42.26	12.08	25.79	1 voxels
244	L_p32_ROI	-9.36	48.49	-2.37	94 voxels
266	L_9-46d_ROI	-29.45	48.82	23.00	40 voxels
279	L_43_ROI	-56.43	0.13	9.47	8 voxels
337	L_FST_ROI	-46.79	-64.16	-1.81	14 voxels
349	L_FOP5_ROI	-37.08	27.35	4.92	104 voxels

KEPT:
1	R_V1_ROI	9.95	-85.33	2.05
2	R_MST_ROI	41.68	-67.64	7.34
3	R_V6_ROI	15.06	-79.30	30.86
4	R_V2_ROI	9.88	-81.97	5.08
5	R_V3_ROI	16.18	-86.39	7.32
6	R_V4_ROI	28.34	-87.58	-0.66
7	R_V8_ROI	30.86	-76.59	-13.20
8	R_4_ROI	28.36	-19.97	55.28
9	R_3b_ROI	38.45	-23.15	53.95
10	R_FEF_ROI	41.04	-5.74	51.45
11	R_PEF_ROI	49.19	-0.33	39.63
12	R_55b_ROI	49.11	-0.94	50.05
13	R_V3A_ROI	16.98	-90.57	27.60
14	R_RSC_ROI	5.93	-37.98	19.88
15	R_POS2_ROI	9.76	-73.21	39.03
16	R_V7_ROI	25.01	-85.04	30.27
18	R_FFC_ROI	42.53	-61.45	-18.57
19	R_V3B_ROI	27.21	-81.73	18.12
21	R_LO2_ROI	43.43	-86.65	-4.08
22	R_PIT_ROI	39.61	-85.07	-14.33
23	R_MT_ROI	45.05	-73.07	8.64
24	R_A1_ROI	43.91	-24.38	11.89
25	R_PSL_ROI	58.81	-45.53	24.33
26	R_SFL_ROI	8.89	16.39	63.83
27	R_PCV_ROI	6.39	-51.68	50.39
28	R_STV_ROI	62.44	-49.93	16.70
29	R_7Pm_ROI	5.53	-68.61	52.58
30	R_7m_ROI	4.47	-63.77	37.16
31	R_POS1_ROI	13.10	-58.78	15.30
33	R_v23ab_ROI	3.93	-58.89	18.82
34	R_d23ab_ROI	3.98	-42.98	30.85
35	R_31pv_ROI	10.82	-46.70	32.04
36	R_5m_ROI	6.80	-41.12	62.67
37	R_5mv_ROI	14.33	-36.70	49.76
38	R_23c_ROI	12.11	-31.21	42.73
39	R_5L_ROI	14.99	-46.62	72.18
40	R_24dd_ROI	7.32	-16.85	50.55
41	R_24dv_ROI	9.60	-2.67	45.21
42	R_7AL_ROI	21.45	-51.84	67.59
43	R_SCEF_ROI	6.83	3.38	58.33
44	R_6ma_ROI	19.13	3.23	68.34
45	R_7Am_ROI	8.65	-58.98	62.79
46	R_7PL_ROI	14.43	-72.79	57.45
49	R_VIP_ROI	23.73	-64.60	63.83
51	R_1_ROI	45.94	-26.50	57.66
52	R_2_ROI	37.71	-34.34	53.56
53	R_3a_ROI	35.19	-21.01	43.21
54	R_6d_ROI	35.05	-13.83	66.71
55	R_6mp_ROI	12.90	-14.84	70.86
56	R_6v_ROI	59.73	3.60	32.53
58	R_33pr_ROI	3.08	9.58	28.64
59	R_a24pr_ROI	5.88	16.72	31.51
61	R_a24_ROI	6.69	41.64	-3.44
62	R_d32_ROI	8.81	40.05	25.61
64	R_p32_ROI	11.81	49.94	-0.99
65	R_10r_ROI	7.93	52.09	-8.27
66	R_47m_ROI	36.98	32.35	-14.48
67	R_8Av_ROI	39.05	16.69	51.93
68	R_8Ad_ROI	24.48	25.81	43.60
69	R_9m_ROI	7.03	52.96	25.48
70	R_8BL_ROI	12.62	35.27	54.16
71	R_9p_ROI	20.29	45.00	39.61
72	R_10d_ROI	11.87	65.17	10.22
73	R_8C_ROI	43.22	13.08	37.79
74	R_44_ROI	54.20	15.43	12.73
75	R_45_ROI	50.89	25.75	2.62
76	R_47l_ROI	46.88	29.87	-10.25
77	R_a47r_ROI	41.58	47.87	-11.31
80	R_IFJp_ROI	41.45	2.81	29.69
81	R_IFSp_ROI	50.27	21.92	22.15
83	R_p9-46v_ROI	46.70	28.48	27.86
84	R_46_ROI	38.83	37.52	31.15
85	R_a9-46v_ROI	40.02	51.19	9.11
86	R_9-46d_ROI	30.42	45.94	22.87
87	R_9a_ROI	21.21	55.66	26.39
88	R_10v_ROI	5.41	53.35	-17.20
89	R_a10p_ROI	28.27	58.42	-4.73
90	R_10pp_ROI	15.15	61.72	-14.44
91	R_11l_ROI	27.12	47.67	-14.72
92	R_13l_ROI	23.93	29.43	-19.41
93	R_OFC_ROI	11.21	32.01	-24.12
94	R_47s_ROI	34.27	21.81	-19.25
95	R_LIPd_ROI	29.64	-55.40	43.61
96	R_6a_ROI	25.76	-3.89	55.49
97	R_i6-8_ROI	32.24	5.45	58.89
98	R_s6-8_ROI	23.22	21.81	57.61
99	R_43_ROI	57.91	-0.51	9.22
100	R_OP4_ROI	60.65	-13.48	15.50
101	R_OP1_ROI	48.71	-22.11	19.31
102	R_OP2-3_ROI	41.06	-16.48	18.96
103	R_52_ROI	39.35	-20.35	-0.83
104	R_RI_ROI	40.31	-34.52	19.85
105	R_PFcm_ROI	52.32	-32.46	21.35
106	R_PoI2_ROI	39.95	-1.90	-0.90
110	R_Pir_ROI	30.90	6.07	-17.92
111	R_AVI_ROI	30.67	24.96	-2.66
112	R_AAIC_ROI	33.20	14.30	-11.52
113	R_FOP1_ROI	50.57	1.63	4.28
114	R_FOP3_ROI	36.19	2.30	12.76
115	R_FOP2_ROI	43.24	-4.44	14.39
117	R_AIP_ROI	38.84	-41.10	43.92
118	R_EC_ROI	22.62	-11.83	-30.52
