roi_id	mean_tsnr	median_tsnr	std_tsnr	n_subjects
1	39.44	39.183	10.689	70
2	48.122	48.204	7.869	70
3	44.388	43.635	7.785	70
4	40.815	41.09	8.502	70
5	50.705	50.108	10.206	70
6	47.425	48.497	14.436	70
7	39.507	40.191	8.137	70
8	59.131	58.392	6.948	70
9	49.873	49.492	8.314	70
10	52.971	52.95	8.063	70
11	52.075	51.563	8.581	70
12	55.984	57.689	11.093	70
13	44.034	41.702	11.364	70
14	37.397	36.556	4.102	70
15	44.601	43.976	9.059	70
16	46.881	47.051	11.408	70
18	28.762	29.632	8.315	70
19	48.753	49.773	9.388	70
21	25.166	20.616	12.509	70
22	23.429	21.229	11.286	70
23	45.919	46.264	9.252	70
24	35.63	35.653	5.995	70
25	51.57	51.332	9.729	70
26	56.944	58.152	8.796	69
27	49.157	49.801	9.783	70
28	44.881	44.503	8.581	70
29	52.119	51.87	8.082	70
30	47.385	47.909	5.907	70
31	38.457	38.056	6.002	70
33	41.865	40.526	6.622	70
34	46.009	45.502	4.756	70
35	46.637	45.289	5.214	70
36	48.953	48.181	8.656	70
37	51.983	52.659	9.578	70
38	50.732	49.808	8.974	70
39	58.475	57.51	9.683	70
40	45.085	44.585	8.285	70
41	51.43	52.019	6.493	70
42	59.602	59.006	8.457	70
43	46.799	46.634	6.779	70
44	55.732	53.582	11.096	70
45	56.869	57.102	10.5	70
46	57.752	58.976	9.662	70
49	54.449	54.775	10.925	70
51	55.957	56.49	9.576	70
52	51.49	52.107	8.191	70
53	54.773	54.451	7.089	70
54	58.185	57.724	11.613	70
55	54.253	53.851	8.92	70
56	52.937	54.486	9.98	70
58	42.41	42.953	6.618	70
59	49.25	48.53	5.722	70
61	34.113	35.195	7.683	70
62	51.101	50.932	8.247	70
64	38.219	38.312	10.727	70
65	24.645	23.985	10.746	70
66	24.695	26.507	11.29	70
67	55.258	54.683	9.61	70
68	54.926	53.721	8.593	70
69	47.748	47.898	9.487	70
70	57.125	56.035	10.549	69
71	50.415	50.023	9.969	70
72	34.634	35.28	17.061	70
73	49.051	49.223	8.533	70
74	43.031	43.253	5.415	70
75	37.496	39.601	7.962	70
76	30.076	32.592	11.8	70
77	15.582	9.77	12.986	70
80	49.333	50.058	6.074	70
81	43.333	44.132	7.555	70
83	46.376	45.4	6.932	70
84	48.853	49.569	9.243	70
85	26.557	26.235	13.683	70
86	48.251	47.398	10.439	70
87	44.862	42.98	11.213	70
88	11.673	8.676	7.508	70
89	22.86	19.826	14.492	70
90	15.493	10.859	12.009	70
91	15.553	12.207	10.463	70
92	21.745	20.484	10.284	70
93	10.958	9.431	6.711	70
94	21.923	24.03	8.245	70
95	51.647	50.834	8.437	70
96	55.626	53.94	8.918	70
97	58.795	58.22	9.545	70
98	53.649	54.007	10.434	70
99	41.383	41.014	5.335	70
100	42.877	42.899	7.334	70
101	40.005	40.095	6.484	70
102	41.98	41.47	5.497	70
103	34.717	34.914	5.006	70
104	45.035	44.11	7.088	70
105	42.086	42.776	7.669	70
106	37.34	37.36	5.653	70
110	16.833	15.262	6.224	70
111	40.464	40.606	5.371	70
112	35.256	35.183	5.88	70
113	39.353	38.959	5.175	70
114	44.47	44.926	6.408	70
115	43.367	42.541	6.395	70
117	53.38	53.021	7.646	70
118	12.409	11.384	7.044	70
119	19.404	19.983	3.207	70
121	35.2	35.655	7.153	70
122	18.996	20.179	6.721	68
123	19.532	17.883	11.034	70
124	45.014	45.372	5.766	70
125	44.609	44.206	6.585	70
126	32.465	33.037	4.399	70
127	34.109	33.461	5.126	70
128	34.734	34.809	5.207	70
129	43.577	43.649	7.522	70
130	44.598	45.717	7.795	70
131	13.534	9.932	9.165	69
132	22.132	22.214	8.071	70
133	44.174	44.462	9.897	70
134	13.338	12.187	7.128	70
135	9.101	8.141	4.086	70
136	49.768	50.634	6.527	70
137	46.358	47.61	10.963	70
139	47.476	47.676	7.054	70
140	45.339	47.083	7.231	70
141	43.672	42.817	7.893	70
142	49.3	49.878	8.181	70
143	37.938	39.207	13.627	70
144	54.216	53.328	7.467	70
146	50.379	49.947	9.812	70
147	51.594	51.318	9.739	70
149	52.141	53.002	8.841	70
151	50.156	51.117	9.462	70
