subject,session,atlas,roi_pos_id,category,recorded_tau,recomputed_tau,grid_search_tau,mse_at_recorded_tau,mse_at_grid_optimum,ratio_mse
sub-27,ses-02,nonself,9,spike_B_high,5.26196653084599,5.26196653084599,5.221588932248162,0.03138377640645245,0.03138397995097452,0.999993514381465
sub-28,ses-01,nonself,78,spike_B_high,5.257809435264084,5.257809435264084,5.37341674857418,0.03985389591418256,0.039852272198828406,1.0000407433570175
sub-03,ses-01,self,30,spike_B_high,5.193702147200268,5.193702147200268,2.0277937381566846,0.0246657802277026,0.019119529304964352,1.2900830263273362
sub-05,ses-01,self,32,spike_B_high,5.193702147200268,5.193702147200268,2.147432238077329,0.033976378318246535,0.027258953672135596,1.246430025411341
sub-34,ses-02,nonself,217,spike_B_low,5.01580237194466,5.01580237194466,5.074051065294942,0.023359156829225163,0.02336094248563858,0.9999235623128426
sub-18,ses-01,nonself,149,spike_B_low,5.0237622673722875,5.0237622673722875,5.074051065294942,0.03298440114945264,0.03298499825332715,0.9999818977139266
sub-03,ses-01,self,30,spike_B_low,5.193702147200268,5.193702147200268,2.0277937381566846,0.0246657802277026,0.019119529304964352,1.2900830263273362
sub-05,ses-01,self,32,spike_B_low,5.193702147200268,5.193702147200268,2.147432238077329,0.033976378318246535,0.027258953672135596,1.246430025411341
sub-31,ses-01,nonself,91,normal,2.500048448053369,2.500048448053369,2.478327501138412,0.011554631750686805,0.011555083067243349,0.999960942162517
sub-23,ses-01,nonself,297,normal,2.500091384749285,2.500091384749285,2.5503896756069317,0.013759667983590162,0.013757184046989139,1.0001805555986267
sub-39,ses-02,self,37,normal,2.5002967615798393,2.5002967615798393,2.478327501138412,0.016630178316527695,0.016630079361765457,1.0000059503481664
sub-16,ses-02,self,24,normal,2.500569518628608,2.500569518628608,2.478327501138412,0.015759029401991084,0.01575940106484036,0.9999764164356406
