column_name,subject,session,atlas,roi_pos_id,roi_name,tau_recorded
sub-01__ses-01__nonself__roi91,sub-01,ses-01,nonself,91,R_52_ROI,5.193702147200268
sub-01__ses-01__nonself__roi164,sub-01,ses-01,nonself,164,L_V3_ROI,5.193702147200268
sub-01__ses-01__nonself__roi172,sub-01,ses-01,nonself,172,L_RSC_ROI,5.193702147200268
sub-01__ses-01__nonself__roi206,sub-01,ses-01,nonself,206,L_2_ROI,5.193702147200268
sub-01__ses-01__nonself__roi221,sub-01,ses-01,nonself,221,L_9p_ROI,5.193702147200268
sub-01__ses-02__nonself__roi11,sub-01,ses-02,nonself,11,R_PEF_ROI,5.193702147200268
sub-01__ses-02__nonself__roi30,sub-01,ses-02,nonself,30,R_v23ab_ROI,5.193702147200268
sub-01__ses-02__nonself__roi45,sub-01,ses-02,nonself,45,R_1_ROI,5.193702147200268
sub-01__ses-02__nonself__roi146,sub-01,ses-02,nonself,146,R_PoI1_ROI,5.193702147200268
sub-01__ses-02__nonself__roi153,sub-01,ses-02,nonself,153,R_LBelt_ROI,5.193702147200268
sub-01__ses-02__nonself__roi225,sub-01,ses-02,nonself,225,L_45_ROI,5.193702147200268
sub-01__ses-02__nonself__roi288,sub-01,ses-02,nonself,288,L_PFm_ROI,5.193702147200268
sub-02__ses-01__nonself__roi12,sub-02,ses-01,nonself,12,R_55b_ROI,5.193702147200268
sub-02__ses-01__nonself__roi31,sub-02,ses-01,nonself,31,R_d23ab_ROI,5.193702147200268
sub-02__ses-01__nonself__roi169,sub-02,ses-01,nonself,169,L_PEF_ROI,5.193702147200268
sub-02__ses-01__nonself__roi252,sub-02,ses-01,nonself,252,L_TA2_ROI,5.193702147200268
sub-02__ses-01__nonself__roi285,sub-02,ses-01,nonself,285,L_IP0_ROI,5.193702147200268
sub-03__ses-01__self__roi30,sub-03,ses-01,self,30,Cognition_L_Thalamus,5.193702147200268
sub-03__ses-01__nonself__roi252,sub-03,ses-01,nonself,252,L_TA2_ROI,5.193702147200268
sub-03__ses-01__nonself__roi269,sub-03,ses-01,nonself,269,L_STSda_ROI,5.193702147200268
sub-03__ses-02__self__roi18,sub-03,ses-02,self,18,Exteroception_R_Postcentral,5.193702147200268
sub-03__ses-02__nonself__roi62,sub-03,ses-02,nonself,62,R_9p_ROI,5.193702147200268
sub-03__ses-02__nonself__roi69,sub-03,ses-02,nonself,69,R_IFJp_ROI,5.193702147200268
