"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",18,1.3301942753166,0.201025139090463
"intero","verum_prepost_pairedt",17,2.25721338665731,0.0383294982993806
"extero","placebo_prepost_pairedt",18,2.28660056571684,0.0353183620998338
"extero","verum_prepost_pairedt",17,-0.550247405922558,0.589749688086602
"mental","placebo_prepost_pairedt",18,0.358760279659734,0.7241912103037
"mental","verum_prepost_pairedt",17,2.67417181938446,0.0166278947464775
"visual","placebo_prepost_pairedt",18,3.50450328544115,0.0027173835877238
"visual","verum_prepost_pairedt",17,1.84150555791807,0.0841634027618098
"auditory","placebo_prepost_pairedt",18,0.422697327080092,0.677814413671652
"auditory","verum_prepost_pairedt",17,-0.300059340353022,0.767995224857188
"Pooled","baseline_welch_t",35,0.603156331925174,0.551018156569344
"Pooled","baseline_mannwhitney",35,165,0.704274613208778
"Pooled","baseline_cohens_d",35,0.201598715599487,NA
"intero","baseline_welch_t",35,-0.399187701536305,0.692552171849242
"intero","baseline_mannwhitney",35,123,0.330232792992423
"intero","baseline_cohens_d",35,-0.133612542105634,NA
"extero","baseline_welch_t",35,-0.428299430882637,0.67122068153027
"extero","baseline_mannwhitney",35,134,0.541470392439108
"extero","baseline_cohens_d",35,-0.144421433040195,NA
"mental","baseline_welch_t",35,0.969454902146374,0.339371156108361
"mental","baseline_mannwhitney",35,168,0.632243630901909
"mental","baseline_cohens_d",35,0.327207765449503,NA
"visual","baseline_welch_t",35,0.884825034449484,0.38306459514891
"visual","baseline_mannwhitney",35,170,0.586041623007637
"visual","baseline_cohens_d",35,0.296523032607885,NA
"auditory","baseline_welch_t",35,-0.710050414324088,0.482697006053915
"auditory","baseline_mannwhitney",35,110,0.160703626695364
"auditory","baseline_cohens_d",35,-0.239123236590806,NA
