"test","contrast","group","session","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"gap","Interoception - nonself","placebo","ses-01",-0.187837024596903,0.0478132248018352,230.662362153045,-0.282043509759266,-0.0936305394345401,-3.92855795390093,0.000112943091650151
"gap","Exteroception - nonself","placebo","ses-01",-0.104834003390329,0.042955941269801,230.662362076097,-0.189470173835805,-0.0201978329448534,-2.44050066862415,0.0154208432543749
"gap","Cognition - nonself","placebo","ses-01",-0.038718566870697,0.0459852871145165,230.662362168624,-0.129323463030574,0.0518863292891804,-0.84197727795581,0.400672783559678
"gap","Interoception - nonself","verum","ses-01",-0.0704560860473523,0.0482730715783201,239.606580422564,-0.165549886863005,0.0246377147683007,-1.45953186204531,0.145728562815302
"gap","Exteroception - nonself","verum","ses-01",-0.0158350634894008,0.043369072808317,239.606580356167,-0.10126840834106,0.0695982813622584,-0.365123403937842,0.715341375525497
"gap","Cognition - nonself","verum","ses-01",0.073446684688515,0.0464275535822768,239.606580362038,-0.0180116043402602,0.16490497371729,1.58196327442401,0.114977021085966
"gap","Interoception - nonself","placebo","ses-02",-0.257673835419466,0.0478136745370586,230.670969846137,-0.351881188155659,-0.163466482683273,-5.38912430208125,1.74572194367556e-07
"gap","Exteroception - nonself","placebo","ses-02",-0.146097738275306,0.042956441858696,230.673026508964,-0.230734874395303,-0.0614606021553084,-3.40106703334252,0.000790997078487228
"gap","Cognition - nonself","placebo","ses-02",-0.110233483063569,0.0459857547267569,230.671667747119,-0.200839281283527,-0.0196276848436107,-2.39712240711425,0.0173212512936113
"gap","Interoception - nonself","verum","ses-02",-0.0428159795665674,0.0482730715783201,239.606580469563,-0.137909780382126,0.0522778212489909,-0.886953702481954,0.375993209809816
"gap","Exteroception - nonself","verum","ses-02",-0.0478465163856888,0.043369072808317,239.606580427255,-0.133279861237219,0.0375868284658418,-1.10324047270185,0.271029544461056
"gap","Cognition - nonself","verum","ses-02",0.130327681179667,0.0464275535822769,239.606580468064,0.0388693921510969,0.221785970208237,2.80711928852132,0.00541006110872335
"meet_at_point","Interoception - nonself","verum","ses-02",-0.0428159795665674,0.0482730715783201,239.606580469563,-0.137909780382126,0.0522778212489909,-0.886953702481954,0.375993209809816
"meet_at_point","Exteroception - nonself","verum","ses-02",-0.0478465163856888,0.043369072808317,239.606580427255,-0.133279861237219,0.0375868284658418,-1.10324047270185,0.271029544461056
"meet_at_point","Cognition - nonself","verum","ses-02",0.130327681179667,0.0464275535822769,239.606580468064,0.0388693921510969,0.221785970208237,2.80711928852132,0.00541006110872335
