"term","estimate","SE","df","t_value","p_value"
"(Intercept)",2.88657276641702,0.0468404878578321,38.8562228783318,61.6255914152346,2.27766064257719e-40
"groupverum",-0.0498730389974504,0.0648159094023785,33.6710673596743,-0.7694567500062,0.446986746992672
"sessionses-02",0.185773175864759,0.0538308425147758,33.9518726664969,3.4510545848092,0.00151246424885772
"layerInteroception",-0.187837024596903,0.0478132248018352,230.662362153045,-3.92855795390093,0.000112943091650151
"layerExteroception",-0.104834003390329,0.042955941269801,230.662362076097,-2.44050066862415,0.0154208432543749
"layerCognition",-0.038718566870697,0.0459852871145165,230.662362168624,-0.84197727795581,0.400672783559678
"groupverum:sessionses-02",-0.0811168961986787,0.0772394337272543,33.9513549579796,-1.05020055539398,0.301044147041392
"groupverum:layerInteroception",0.117380938549551,0.0393252346199907,9305.00191427281,2.98487573396145,0.00284431059587076
"groupverum:layerExteroception",0.0889989399009282,0.0353302350083826,9305.00191689791,2.5190588140671,0.0117835191802671
"groupverum:layerCognition",0.112165251559212,0.0378217995615428,9305.00191459561,2.96562439808553,0.00302836118138311
"sessionses-02:layerInteroception",-0.0698368108225629,0.0387599291930141,9305.00287645522,-1.80177859651895,0.071612601596276
"sessionses-02:layerExteroception",-0.0412637348849768,0.0348224773193117,9305.00310336759,-1.18497413341965,0.236057937349757
"sessionses-02:layerCognition",-0.0715149161928721,0.0372781494742936,9305.00295651522,-1.91841379471338,0.0550891283133661
"groupverum:sessionses-02:layerInteroception",0.0974769173033477,0.0556146667941071,9305.00238258613,1.7527196137706,0.0796830783659854
"groupverum:sessionses-02:layerExteroception",0.00925228198868887,0.0499649278822658,9305.00249274303,0.185175529733383,0.853095397476439
"groupverum:sessionses-02:layerCognition",0.128395912684024,0.0534885039137567,9305.00242111181,2.40043940827071,0.016394917926373
