glasser_id,roi_name,tsnr,nonself_pos_id
18,R_FFC_ROI,29.632,17
21,R_LO2_ROI,20.616,19
22,R_PIT_ROI,21.229,20
65,R_10r_ROI,23.985,56
66,R_47m_ROI,26.507,57
77,R_a47r_ROI,9.77,68
85,R_a9-46v_ROI,26.235,73
88,R_10v_ROI,8.676,76
89,R_a10p_ROI,19.826,77
90,R_10pp_ROI,10.859,78
91,R_11l_ROI,12.207,79
92,R_13l_ROI,20.484,80
93,R_OFC_ROI,9.431,81
94,R_47s_ROI,24.03,82
110,R_Pir_ROI,15.262,95
118,R_EC_ROI,11.384,102
119,R_PreS_ROI,19.983,103
122,R_PeEc_ROI,20.179,105
123,R_STGa_ROI,17.883,106
131,R_TGd_ROI,9.932,114
132,R_TE1a_ROI,22.214,115
134,R_TE2a_ROI,12.187,117
135,R_TF_ROI,8.141,118
159,R_LO3_ROI,27.851,138
164,R_25_ROI,25.199,143
165,R_s32_ROI,18.1,144
166,R_pOFC_ROI,22.03,145
171,R_p47r_ROI,20.763,150
172,R_TGv_ROI,8.193,151
177,R_TE1m_ROI,26.308,156
178,R_PI_ROI,22.882,157
245,L_10r_ROI,21.521,217
246,L_47m_ROI,22.893,218
257,L_a47r_ROI,19.105,227
268,L_10v_ROI,9.005,235
269,L_a10p_ROI,16.397,236
270,L_10pp_ROI,9.125,237
271,L_11l_ROI,10.525,238
272,L_13l_ROI,25.862,239
273,L_OFC_ROI,8.665,240
274,L_47s_ROI,25.008,241
290,L_Pir_ROI,19.413,255
298,L_EC_ROI,21.136,260
299,L_PreS_ROI,17.927,261
303,L_STGa_ROI,14.278,264
306,L_PHA1_ROI,29.809,267
311,L_TGd_ROI,10.185,272
314,L_TE2a_ROI,10.016,274
315,L_TF_ROI,14.655,275
344,L_25_ROI,20.394,301
345,L_s32_ROI,12.58,302
346,L_pOFC_ROI,26.416,303
351,L_p47r_ROI,25.297,307
352,L_TGv_ROI,5.188,308
353,L_MBelt_ROI,29.532,309
356,L_STSva_ROI,29.852,312
357,L_TE1m_ROI,20.921,313
358,L_PI_ROI,22.229,314
