pair,region_a,region_b,mean_d,ci_low,ci_high,t,p,q,survives,df,n
Visual-Cognition,Visual,Cognition,-0.1887,-0.2957,-0.0816,-3.5809,0.0011,0.0106,yes,34,35
Cognition-Auditory,Cognition,Auditory,-0.0684,-0.1559,0.019,-1.5898,0.1211,0.5008,no,34,35
Exteroception-Cognition,Exteroception,Cognition,-0.0734,-0.1746,0.0279,-1.4719,0.1503,0.5008,no,34,35
Interoception-Auditory,Interoception,Auditory,-0.0483,-0.1545,0.0579,-0.9243,0.3618,0.7103,no,34,35
Visual-Interoception,Visual,Interoception,0.0399,-0.0681,0.1478,0.7503,0.4582,0.7103,no,34,35
Visual-Exteroception,Visual,Exteroception,0.0419,-0.0758,0.1597,0.7238,0.4741,0.7103,no,34,35
Interoception-Cognition,Interoception,Cognition,-0.031,-0.1329,0.0709,-0.6188,0.5402,0.7103,no,34,35
Exteroception-Auditory,Exteroception,Auditory,-0.024,-0.1088,0.0607,-0.5763,0.5682,0.7103,no,34,35
Interoception-Exteroception,Interoception,Exteroception,-0.0189,-0.11,0.0722,-0.4219,0.6758,0.7508,no,34,35
Visual-Auditory,Visual,Auditory,-0.0142,-0.1173,0.089,-0.2787,0.7822,0.7822,no,34,35
