subject,session,atlas,roi_id,tau,spike
sub-01,ses-01,nonself,81,1.0,A
sub-01,ses-01,nonself,91,5.193702147200268,B
sub-01,ses-01,nonself,117,5.193702147200268,B
sub-01,ses-01,nonself,164,5.193702147200268,B
sub-01,ses-01,nonself,172,5.193702147200268,B
sub-01,ses-01,nonself,206,5.193702147200268,B
sub-01,ses-01,nonself,221,5.193702147200268,B
sub-01,ses-01,nonself,240,1.0,A
sub-01,ses-02,nonself,11,5.193702147200268,B
sub-01,ses-02,nonself,30,5.193702147200268,B
sub-01,ses-02,nonself,45,5.193702147200268,B
sub-01,ses-02,nonself,68,1.0,A
sub-01,ses-02,nonself,81,1.0,A
sub-01,ses-02,nonself,146,5.193702147200268,B
sub-01,ses-02,nonself,153,5.193702147200268,B
sub-01,ses-02,nonself,225,5.193702147200268,B
sub-01,ses-02,nonself,240,1.0,A
sub-01,ses-02,nonself,272,5.193702147200268,B
sub-01,ses-02,nonself,288,5.193702147200268,B
sub-01,ses-02,nonself,308,1.0,A
sub-02,ses-01,nonself,12,5.193702147200268,B
sub-02,ses-01,nonself,31,5.193702147200268,B
sub-02,ses-01,nonself,68,5.193702147200268,B
sub-02,ses-01,nonself,117,1.0,A
sub-02,ses-01,nonself,151,1.0,A
sub-02,ses-01,nonself,169,5.193702147200268,B
sub-02,ses-01,nonself,240,1.0,A
sub-02,ses-01,nonself,252,5.193702147200268,B
sub-02,ses-01,nonself,285,5.193702147200268,B
sub-02,ses-01,nonself,308,1.0,A
sub-02,ses-02,nonself,13,5.062376106268621,B
sub-02,ses-02,nonself,78,1.0,A
sub-02,ses-02,nonself,81,1.0,A
sub-02,ses-02,nonself,115,5.193702147200268,B
sub-02,ses-02,nonself,117,1.0,A
sub-02,ses-02,nonself,151,1.0,A
sub-02,ses-02,nonself,181,5.1190059771957515,B
sub-02,ses-02,nonself,237,1.0,A
sub-02,ses-02,nonself,240,1.0,A
sub-02,ses-02,nonself,308,1.0,A
sub-03,ses-01,self,30,5.193702147200268,B
sub-03,ses-01,nonself,78,1.0,A
sub-03,ses-01,nonself,117,1.0,A
sub-03,ses-01,nonself,252,5.193702147200268,B
sub-03,ses-01,nonself,267,5.193702147200268,B
sub-03,ses-01,nonself,269,5.193702147200268,B
sub-03,ses-02,self,18,5.193702147200268,B
sub-03,ses-02,nonself,62,5.193702147200268,B
sub-03,ses-02,nonself,69,5.193702147200268,B
sub-03,ses-02,nonself,117,1.0,A
sub-03,ses-02,nonself,132,5.193702147200268,B
sub-03,ses-02,nonself,152,5.193702147200268,B
sub-03,ses-02,nonself,231,5.193702147200268,B
sub-03,ses-02,nonself,288,5.193702147200268,B
sub-03,ses-02,nonself,302,5.193702147200268,B
sub-04,ses-01,nonself,68,1.0,A
sub-04,ses-01,nonself,76,1.0,A
sub-04,ses-01,nonself,78,1.0,A
sub-04,ses-01,nonself,81,1.0,A
sub-04,ses-01,nonself,151,1.0,A
sub-04,ses-01,nonself,208,5.193702147200268,B
sub-04,ses-01,nonself,227,1.0,A
sub-04,ses-01,nonself,236,1.0,A
sub-04,ses-01,nonself,237,1.0,A
sub-04,ses-01,nonself,245,5.193702147200268,B
sub-04,ses-01,nonself,272,1.0,A
sub-04,ses-01,nonself,308,1.0,A
sub-04,ses-02,nonself,44,5.193702147200268,B
sub-04,ses-02,nonself,68,1.0,A
sub-04,ses-02,nonself,76,1.0,A
sub-04,ses-02,nonself,77,1.0,A
sub-04,ses-02,nonself,78,1.0,A
sub-04,ses-02,nonself,79,1.0,A
sub-04,ses-02,nonself,81,1.0,A
sub-04,ses-02,nonself,151,1.0,A
sub-04,ses-02,nonself,227,1.0,A
sub-04,ses-02,nonself,235,1.0,A
sub-04,ses-02,nonself,236,1.0,A
sub-04,ses-02,nonself,237,1.0,A
sub-04,ses-02,nonself,238,1.0,A
sub-04,ses-02,nonself,272,1.0,A
sub-04,ses-02,nonself,307,1.0,A
sub-04,ses-02,nonself,308,1.0,A
sub-05,ses-01,self,32,5.193702147200268,B
sub-05,ses-01,nonself,68,1.0,A
sub-05,ses-01,nonself,81,1.0,A
sub-05,ses-01,nonself,151,1.0,A
sub-05,ses-01,nonself,245,5.193702147200268,B
sub-05,ses-01,nonself,249,5.193702147200268,B
sub-05,ses-01,nonself,252,5.193702147200268,B
sub-05,ses-01,nonself,308,1.0,A
sub-05,ses-02,nonself,68,1.0,A
sub-05,ses-02,nonself,81,1.0,A
sub-05,ses-02,nonself,143,5.193702147200268,B
sub-05,ses-02,nonself,167,5.193702147200268,B
sub-05,ses-02,nonself,262,5.193702147200268,B
sub-05,ses-02,nonself,308,1.0,A
sub-07,ses-01,nonself,81,1.0,A
sub-07,ses-01,nonself,240,1.0,A
sub-07,ses-02,self,30,5.193702147200268,B
sub-07,ses-02,nonself,81,1.0,A
sub-07,ses-02,nonself,96,5.193702147200268,B
sub-07,ses-02,nonself,102,5.193702147200268,B
sub-07,ses-02,nonself,213,5.193702147200268,B
sub-07,ses-02,nonself,218,5.193702147200268,B
sub-07,ses-02,nonself,240,1.0,A
sub-09,ses-01,nonself,100,5.193702147200268,B
sub-09,ses-01,nonself,128,5.193702147200268,B
sub-09,ses-01,nonself,245,5.193702147200268,B
sub-09,ses-01,nonself,252,5.193702147200268,B
sub-09,ses-01,nonself,269,5.193702147200268,B
sub-09,ses-01,nonself,274,1.0,A
sub-09,ses-01,nonself,308,5.193702147200268,B
sub-09,ses-01,nonself,309,5.193702147200268,B
sub-09,ses-02,self,3,5.193702147200268,B
sub-09,ses-02,nonself,77,5.193702147200268,B
sub-09,ses-02,nonself,106,1.0,A
sub-09,ses-02,nonself,151,1.0,A
sub-09,ses-02,nonself,163,5.193702147200268,B
sub-09,ses-02,nonself,255,5.193702147200268,B
sub-09,ses-02,nonself,263,5.193702147200268,B
sub-10,ses-01,nonself,91,5.193702147200268,B
