roi_id,count,percent_of_spike_A,cumulative_percent
308,34,9.4,9.4
151,31,8.6,18.0
240,25,6.9,24.9
78,24,6.6,31.6
237,24,6.6,38.2
68,23,6.4,44.6
81,20,5.5,50.1
272,20,5.5,55.7
114,17,4.7,60.4
76,14,3.9,64.3
117,14,3.9,68.1
238,13,3.6,71.7
236,11,3.0,74.8
227,10,2.8,77.6
79,9,2.5,80.1
235,9,2.5,82.5
77,7,1.9,84.5
149,6,1.7,86.1
150,5,1.4,87.5
102,4,1.1,88.6
217,4,1.1,89.8
19,3,0.8,90.6
105,3,0.8,91.4
57,2,0.6,92.0
63,2,0.6,92.5
67,2,0.6,93.1
73,2,0.6,93.6
80,2,0.6,94.2
222,2,0.6,94.7
302,2,0.6,95.3
307,2,0.6,95.8
24,1,0.3,96.1
56,1,0.3,96.4
61,1,0.3,96.7
106,1,0.3,97.0
118,1,0.3,97.2
135,1,0.3,97.5
138,1,0.3,97.8
144,1,0.3,98.1
207,1,0.3,98.3
218,1,0.3,98.6
226,1,0.3,98.9
234,1,0.3,99.2
260,1,0.3,99.4
274,1,0.3,99.7
306,1,0.3,100.0
