nonself_pos_id,roi_name,G1,G1_z,glasser_row_index
1,R_V1_ROI,-3.203,-0.6587044808479791,1
2,R_MST_ROI,-4.11376,-0.8992234320288183,2
3,R_V6_ROI,-4.46373,-0.9916456040003127,3
4,R_V2_ROI,-4.01526,-0.8732109625623147,4
5,R_V3_ROI,-3.78511,-0.8124315732454035,5
6,R_V4_ROI,-4.05539,-0.8838087331175511,6
7,R_V8_ROI,-4.28174,-0.9435845956936227,7
8,R_4_ROI,-5.06423,-1.1502292376514325,8
9,R_3b_ROI,-5.05489,-1.147762674556842,9
10,R_FEF_ROI,-2.28772,-0.41699186101750957,10
11,R_PEF_ROI,-1.72122,-0.2673871508370608,11
12,R_55b_ROI,-0.452943,0.06754702923977729,12
13,R_V3A_ROI,-4.45055,-0.9881649507255054,13
14,R_RSC_ROI,2.29506,0.7932561067155113,14
15,R_POS2_ROI,2.89452,0.9515650909428224,15
16,R_V7_ROI,-4.41102,-0.9777256317609279,16
18,R_V3B_ROI,-4.20064,-0.9221672223562275,19
21,R_MT_ROI,-4.00105,-0.8694583007235431,23
22,R_A1_ROI,-3.74973,-0.8030882111162169,24
23,R_PSL_ROI,-1.35183,-0.1698364290479066,25
24,R_SFL_ROI,3.2639,1.0491131718721323,26
25,R_PCV_ROI,-0.854062,-0.03838287674940429,27
26,R_STV_ROI,-0.864429,-0.04112065615000573,28
27,R_7Pm_ROI,1.9777,0.7094457786963283,29
28,R_7m_ROI,5.84617,1.7310544868900795,30
29,R_POS1_ROI,3.03417,0.9884446986686823,31
30,R_v23ab_ROI,5.90524,1.7466540459904487,33
31,R_d23ab_ROI,5.86333,1.7355862023829243,34
32,R_31pv_ROI,6.11841,1.802949255291713,35
33,R_5m_ROI,-5.23916,-1.1964257989080358,36
34,R_5mv_ROI,-3.92286,-0.8488094176008436,37
35,R_23c_ROI,-1.66113,-0.2515182240325716,38
36,R_5L_ROI,-5.0083,-1.1354589085421782,39
37,R_24dd_ROI,-5.21342,-1.189628225668769,40
38,R_24dv_ROI,-4.66213,-1.0440402633115238,41
39,R_7AL_ROI,-4.13469,-0.9047507516829697,42
40,R_SCEF_ROI,-2.7008,-0.5260804994664764,43
41,R_6ma_ROI,-1.12373,-0.10959841599907985,44
42,R_7Am_ROI,-2.25984,-0.4096291437715591,45
43,R_7PL_ROI,-1.3441,-0.16779504438825105,46
44,R_VIP_ROI,-4.08775,-0.8923545555737546,49
45,R_1_ROI,-5.25274,-1.2000120865766157,51
46,R_2_ROI,-5.15807,-1.1750110664304851,52
47,R_3a_ROI,-4.96991,-1.1253206475998525,53
48,R_6d_ROI,-5.20503,-1.1874125442593886,54
49,R_6mp_ROI,-4.93261,-1.1154702403805576,55
50,R_6v_ROI,-4.1906,-0.9195157990725352,56
51,R_33pr_ROI,0.371024,0.2851451655738527,58
52,R_a24pr_ROI,-2.34795,-0.43289775985981915,59
53,R_a24_ROI,4.6967,1.4274955703655954,61
54,R_d32_ROI,4.45266,1.3630480267249305,62
55,R_p32_ROI,3.82586,1.197518931683262,64
58,R_8Av_ROI,5.93318,1.754032608395465,67
59,R_8Ad_ROI,5.61826,1.670866650178295,68
60,R_9m_ROI,6.17955,1.8190954723798554,69
61,R_8BL_ROI,6.59481,1.9287598182748829,70
62,R_9p_ROI,6.06785,1.789597067918856,71
63,R_10d_ROI,6.24994,1.837684484823989,72
64,R_8C_ROI,4.88,1.4759025313118905,73
65,R_44_ROI,3.46824,1.1030765019308666,74
66,R_45_ROI,3.66026,1.1537862926614046,75
67,R_47l_ROI,6.11493,1.8020302360658915,76
