"contrast","group","session","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"Interoception - nonself","placebo","ses-01",-0.0798531326117747,0.0409730764223155,1048.54803995437,-0.160251690912146,0.000545425688596196,-1.9489171813392,0.0515717153020829
"Exteroception - nonself","placebo","ses-01",-0.0391739507533898,0.0357093208869583,886.441090199787,-0.109258626384102,0.030910724877322,-1.09702312394568,0.27292919993611
"Cognition - nonself","placebo","ses-01",-0.00449292548136767,0.0372031560304529,1358.30970718293,-0.0774748032191569,0.0684889522564215,-0.120767320860896,0.903893196022973
"Interoception - nonself","verum","ses-01",-0.0734717628268776,0.041423328248506,1094.46992821049,-0.154749877353232,0.00780635169947703,-1.7736808202882,0.0763939725963863
"Exteroception - nonself","verum","ses-01",-0.0744092542966222,0.0360831406797188,923.58725548471,-0.145223710995633,-0.0035947975976115,-2.06216124469579,0.0394716206854886
"Cognition - nonself","verum","ses-01",-0.0440642990601412,0.0376551306938906,1423.50282392329,-0.117929803911319,0.0298012057910366,-1.17020704079751,0.242113535547764
"Interoception - nonself","placebo","ses-02",-0.0594449581943961,0.0409740920536344,1048.64732499249,-0.139845500599169,0.0209555842103765,-1.45079378736651,0.14713634172647
"Exteroception - nonself","placebo","ses-02",0.0636364553718002,0.0357104862234969,886.552388388181,-0.00645049536955035,0.133723406113151,1.78201033090186,0.0750897378034761
"Cognition - nonself","placebo","ses-02",0.0521738102183127,0.0372042745761428,1358.4635813815,-0.0208102544111042,0.12515787484773,1.40236063766095,0.161036052415171
"Interoception - nonself","verum","ses-02",-0.0658706159645949,0.0414242706592685,1094.56445256212,-0.147150571856272,0.0154093399270826,-1.59014546101264,0.112090787427197
"Exteroception - nonself","verum","ses-02",-0.0743527598074391,0.0360842225602997,923.693212421235,-0.145169329076664,-0.00353619053821368,-2.06053378822807,0.0396270989614327
"Cognition - nonself","verum","ses-02",-0.0230352688664071,0.0376561674104369,1423.64934867858,-0.096902800904233,0.0508322631714188,-0.611726324013064,0.540816515631095
