"term","estimate","SE","df","t_value","p_value"
"(Intercept)",2.88118059285171,0.0411420295041151,34.8055895363582,70.0301037060781,4.77282485917343e-39
"groupverum",-0.0323970275311052,0.0582863102654989,33.0802813694051,-0.55582567130316,0.582070192498299
"sessionses-02",0.0886038971083706,0.0492331954526794,33.1073091817531,1.79967796714581,0.081031139986848
"self_layerInteroception",-0.0798531326117747,0.0409730764223155,1048.54803995437,-1.9489171813392,0.0515717153020829
"self_layerExteroception",-0.0391739507533898,0.0357093208869583,886.441090199787,-1.09702312394568,0.27292919993611
"self_layerCognition",-0.00449292548136767,0.0372031560304529,1358.30970718293,-0.120767320860896,0.903893196022973
"groupverum:sessionses-02",-0.0198683262609733,0.0706430967699463,33.1079658102056,-0.281249367162877,0.780269481506805
"groupverum:self_layerInteroception",0.00638136978489709,0.0360199782825425,23780.3139497634,0.177161955369359,0.859382686951845
"groupverum:self_layerExteroception",-0.0352353035432324,0.0306313521661474,23780.3213465577,-1.1503019309142,0.25003110297437
"groupverum:self_layerCognition",-0.0395713735787735,0.034397106564895,23780.3158157453,-1.15042739144691,0.249979451927148
"sessionses-02:self_layerInteroception",0.0204081744173786,0.035502334295859,23780.315211321,0.574840354082266,0.565404710176949
"sessionses-02:self_layerExteroception",0.10281040612519,0.0301913618287844,23780.3230979654,3.40529210667042,0.000662025171153931
"sessionses-02:self_layerCognition",0.0566667356996804,0.0339028454225251,23780.3171972541,1.67144482987941,0.094647004718885
"groupverum:sessionses-02:self_layerInteroception",-0.0128070275550959,0.0509413666822033,23780.3149222125,-0.251407223425949,0.801501455886097
"groupverum:sessionses-02:self_layerExteroception",-0.102753911636007,0.0433209491995974,23780.3226865907,-2.37192198080835,0.0177037404942229
"groupverum:sessionses-02:self_layerCognition",-0.0356377055059463,0.0486463467135457,23780.3168805302,-0.732587499649236,0.463817277971502
