"region","arm","est","dz","ci_low","ci_high","p","q","survives","KR_df","singular"
"intero","placebo",0.2075,0.505,0.0435,0.3716,0.0148,0.0247,"yes",32.3,FALSE
"intero","verum",0.1772,0.532,0.0081,0.3463,0.0406,0.1122,"no",32.5,FALSE
"extero","placebo",0.2324,1.084,0.0907,0.3742,0.0021,0.0052,"yes",31.8,FALSE
"extero","verum",0.136,0.473,-0.0103,0.2823,0.0673,0.1122,"no",32.2,FALSE
"cognition","placebo",0.0555,0.069,-0.146,0.2569,0.5788,0.7235,"no",32.4,FALSE
"cognition","verum",-0.0491,-0.078,-0.2567,0.1585,0.6333,0.6333,"no",32.5,FALSE
"visual","placebo",0.3533,0.792,0.1536,0.553,0.0011,0.0052,"yes",31.8,FALSE
"visual","verum",0.2003,0.718,-0.0058,0.4064,0.0564,0.1122,"no",32.1,FALSE
"auditory","placebo",0.0272,0.05,-0.1517,0.2061,0.7588,0.7588,"no",31.9,FALSE
"auditory","verum",0.0486,0.215,-0.1359,0.2332,0.5951,0.6333,"no",32.2,FALSE
