"region","arm","est","dz","ci_low","ci_high","p","q","survives","KR_df","singular"
"intero","placebo",0.0049,-0.044,-0.1443,0.1541,0.9471,0.9847,"no",32.1,FALSE
"intero","verum",0.0227,0.124,-0.1312,0.1766,0.7658,0.8095,"no",32.3,FALSE
"extero","placebo",0.0012,-0.01,-0.1283,0.1307,0.9847,0.9847,"no",32,FALSE
"extero","verum",0.0889,0.569,-0.0447,0.2224,0.1848,0.308,"no",32.3,FALSE
"cognition","placebo",0.0068,-0.011,-0.1261,0.1396,0.9181,0.9847,"no",32.1,FALSE
"cognition","verum",0.0164,0.201,-0.1207,0.1534,0.8095,0.8095,"no",32.3,FALSE
"visual","placebo",0.096,0.291,-0.0367,0.2287,0.1503,0.7515,"no",32.1,FALSE
"visual","verum",0.1265,0.647,-0.0103,0.2634,0.0687,0.308,"no",32.3,FALSE
"auditory","placebo",0.0235,-0.02,-0.1047,0.1517,0.7114,0.9847,"no",31.7,FALSE
"auditory","verum",0.0932,0.314,-0.0391,0.2255,0.1611,0.308,"no",32.1,FALSE
