"region","arm","est","dz","ci_low","ci_high","p","q","survives","KR_df","singular"
"intero","placebo",0.1094,0.314,-0.042,0.2608,0.151,0.2517,"no",32.3,FALSE
"intero","verum",0.1604,0.547,0.0044,0.3164,0.0443,0.1108,"no",32.5,FALSE
"extero","placebo",0.1723,0.539,0.0519,0.2927,0.0065,0.0163,"yes",32.1,FALSE
"extero","verum",-0.0359,-0.133,-0.16,0.0883,0.5607,0.5607,"no",32.4,FALSE
"cognition","placebo",0.0458,0.085,-0.13,0.2217,0.5993,0.6891,"no",32.3,FALSE
"cognition","verum",0.2087,0.649,0.0274,0.39,0.0254,0.1108,"no",32.5,FALSE
"visual","placebo",0.305,0.826,0.1393,0.4708,7e-04,0.0035,"yes",32.1,FALSE
"visual","verum",0.1137,0.447,-0.0572,0.2847,0.185,0.3083,"no",32.3,FALSE
"auditory","placebo",0.0186,0.1,-0.0754,0.1126,0.6891,0.6891,"no",31.5,FALSE
"auditory","verum",-0.0341,-0.073,-0.1312,0.063,0.4796,0.5607,"no",31.9,FALSE
