"contrast","group","session","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"Interoception - nonself","placebo","ses-01",-0.140095413928328,0.0508947644830295,726.613671682727,-0.240013754570158,-0.0401770732864975,-2.75264883041244,0.00605903547301317
"Exteroception - nonself","placebo","ses-01",-0.125539501683499,0.0484186948407617,678.442790646624,-0.220607999872113,-0.0304710034948842,-2.59278987375372,0.00972522172779564
"Cognition - nonself","placebo","ses-01",-0.0454141354261879,0.0495268493416394,1045.06679784795,-0.142597529014825,0.0517692581624489,-0.916959912247157,0.359375199637194
"Interoception - nonself","verum","ses-01",-0.126780518681014,0.0512830907500547,748.76077278205,-0.227456266390161,-0.0261047709718673,-2.47217000431821,0.0136507612549166
"Exteroception - nonself","verum","ses-01",-0.193227128951608,0.0487784344682419,698.60553059119,-0.288997024271108,-0.097457233632108,-3.96132288906098,8.21848732740608e-05
"Cognition - nonself","verum","ses-01",-0.0909442136042438,0.0499887060459208,1083.65335825016,-0.189029829721634,0.00714140251314636,-1.81929521281668,0.069142257953355
"Interoception - nonself","placebo","ses-02",-0.155566897229491,0.0508947644830294,726.61367173337,-0.255485237871309,-0.0556485565876727,-3.05663851301176,0.00232036268067474
"Exteroception - nonself","placebo","ses-02",-0.217023835314599,0.0484186948407617,678.442790423262,-0.312092333503269,-0.121955337125929,-4.4822322457956,8.66992602600748e-06
"Cognition - nonself","placebo","ses-02",-0.0818373593986906,0.0495268493416394,1045.06679740097,-0.179020752987376,0.0153460341899945,-1.65238371684359,0.0987567321629817
"Interoception - nonself","verum","ses-02",-0.165773317200496,0.0512830907500547,748.760772758512,-0.266449064909648,-0.065097569491344,-3.23251416355632,0.00128080256626871
"Exteroception - nonself","verum","ses-02",-0.238930212500367,0.048778434468242,698.605530655221,-0.334700107819852,-0.143160317180882,-4.89827554133429,1.2023467315885e-06
"Cognition - nonself","verum","ses-02",-0.160627639956992,0.0499887060459208,1083.65335817356,-0.25871325607439,-0.0625420238395939,-3.21327861156149,0.0013509773824078
