"term","estimate","SE","df","t_value","p_value"
"(Intercept)",3.08086983164288,0.0690612261304083,34.2884732612138,44.6107027672122,5.88447715055714e-32
"groupverum",0.0174220777748209,0.098191902383134,33.0593659975263,0.177428864824738,0.860254196963091
"sessionses-02",0.229390792973479,0.0691405606539238,33.1163481850233,3.31774563011821,0.00221228282004978
"self_layerInteroception",-0.151098319945079,0.0445075407937593,762.252610497976,-3.39489257888328,0.0007220777486106
"self_layerExteroception",-0.158447992379647,0.0422123890213066,716.886854457438,-3.75358978852561,0.000188432280263073
"self_layerCognition",-0.0285937686643933,0.0440358496883658,1153.47210977255,-0.649329327508077,0.516254804341035
"groupverum:sessionses-02",-0.113316789266729,0.0992070323242213,33.1163367574762,-1.14222537064101,0.261551878802577
"groupverum:self_layerInteroception",-0.0314745624980743,0.0357223191891011,21244.4509133327,-0.881089560043942,0.37827931513493
"groupverum:self_layerExteroception",-0.0407188734498957,0.0335338742186965,21244.4509330874,-1.21426093461021,0.224661595593389
"groupverum:self_layerCognition",0.0504395068532723,0.0384469579952896,21244.4509229094,1.31192451843529,0.189559779680818
"sessionses-02:self_layerInteroception",-0.0416507639626594,0.0352083021866931,21244.4509139643,-1.18298132473997,0.236829787155083
"sessionses-02:self_layerExteroception",0.00510253766960509,0.0330513472748614,21244.4509288088,0.154382138409409,0.87730990280436
"sessionses-02:self_layerCognition",-0.197501859328894,0.0378937355128459,21244.4509230217,-5.21199234269054,1.88570005630669e-07
"groupverum:sessionses-02:self_layerInteroception",0.105332502535637,0.0505189882766474,21244.4509163353,2.08500815493028,0.0370804697713017
"groupverum:sessionses-02:self_layerExteroception",0.0401753924078512,0.0474240597189941,21244.4509298403,0.847152113208062,0.396919884150586
"groupverum:sessionses-02:self_layerCognition",0.0481157532170747,0.0543722094289273,21244.4509243216,0.884932830989135,0.376202874957264
