"roi_pos_id","roi_name","self_layer","n_obs","term","estimate","SE","p_value","status","message","p_fdr"
32,"L_23d_ROI","Cognition",70,"groupverum:sessionses-02",-0.333455537099441,0.223963198315371,0.146012979000571,"ok",NA,0.777834829807756
34,"L_d23ab_ROI","Cognition",70,"groupverum:sessionses-02",-0.0583507763650828,0.14953675710647,0.698888527345123,"ok",NA,0.987089981920432
61,"L_a24_ROI","Cognition",70,"groupverum:sessionses-02",-0.0160637251917086,0.195945042973519,0.9349101228184,"singular",NA,0.998717586568188
68,"L_8Ad_ROI","Cognition",70,"groupverum:sessionses-02",-0.0178008270566333,0.161909317036518,0.913120321322165,"ok",NA,0.998717586568188
111,"L_AVI_ROI","Cognition",140,"groupverum:sessionses-02",0.0360543703116502,0.151121650026976,0.811906494079415,"ok",NA,0.998717586568188
150,"L_PGi_ROI","Cognition",70,"groupverum:sessionses-02",0.0332014810648482,0.227109132042222,0.884215625608032,"singular",NA,0.998717586568188
258,"R_6r_ROI","Cognition",140,"groupverum:sessionses-02",-0.0957534444982858,0.128710493841112,0.458603931329675,"ok",NA,0.868711395864962
260,"R_IFJp_ROI","Cognition",70,"groupverum:sessionses-02",0.108834735031295,0.180755895819673,0.551216600003501,"ok",NA,0.943958427505995
287,"R_TA2_ROI","Cognition",70,"groupverum:sessionses-02",0.00863692661252496,0.172277931460607,0.960318083912953,"ok",NA,0.998717586568188
330,"R_PGi_ROI","Cognition",70,"groupverum:sessionses-02",-0.178127007756155,0.184607533087903,0.34161525531683,"ok",NA,0.802645580836457
50,"L_MIP_ROI","Exteroception",70,"groupverum:sessionses-02",-0.0957975197787035,0.201719607839572,0.637983221724383,"ok",NA,0.982034416512791
69,"L_9m_ROI","Exteroception",70,"groupverum:sessionses-02",0.0723930524013632,0.144838316697297,0.620518564628154,"ok",NA,0.982034416512791
109,"L_MI_ROI","Exteroception",70,"groupverum:sessionses-02",0.0166769045649089,0.148811810367152,0.911449134076067,"ok",NA,0.998717586568188
112,"L_AAIC_ROI","Exteroception",70,"groupverum:sessionses-02",-0.0900686205907371,0.131038999420466,0.496669816397106,"ok",NA,0.872355959569276
