"contrast","group","session","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"Interoception - nonself","placebo","ses-01",-0.151098319945079,0.0445075407937593,762.252610497976,-0.238470229111305,-0.0637264107788523,-3.39489257888328,0.0007220777486106
"Exteroception - nonself","placebo","ses-01",-0.158447992379647,0.0422123890213066,716.886854457438,-0.241322672936918,-0.0755733118223765,-3.75358978852561,0.000188432280263073
"Cognition - nonself","placebo","ses-01",-0.0285937686643933,0.0440358496883658,1153.47210977255,-0.114993107246809,0.057805569918022,-0.649329327508077,0.516254804341035
"Interoception - nonself","verum","ses-01",-0.182572882443153,0.0449152616922873,790.173601038304,-0.270740226272908,-0.0944055386133972,-4.06482953820803,5.28751558188156e-05
"Exteroception - nonself","verum","ses-01",-0.199166865829543,0.0425912543877024,742.647254182624,-0.282780459860499,-0.115553271798587,-4.67623855396589,3.47070797699196e-06
"Cognition - nonself","verum","ses-01",0.021845738188879,0.0445128009200766,1202.83684228329,-0.0654856248613405,0.109177101239098,0.490774288234598,0.623675617358167
"Interoception - nonself","placebo","ses-02",-0.192749083907738,0.0445075407937592,762.252609140828,-0.280120993074211,-0.105377174741265,-4.33070622348933,1.68494860676915e-05
"Exteroception - nonself","placebo","ses-02",-0.153345454710042,0.0422123890213065,716.886853223575,-0.236220135267554,-0.0704707741525306,-3.63271206073274,0.000300463726190365
"Cognition - nonself","placebo","ses-02",-0.226095627993287,0.0440358496883656,1153.47210843113,-0.312494966575807,-0.139696289410766,-5.13435370484113,3.32070781541649e-07
"Interoception - nonself","verum","ses-02",-0.118891143870175,0.0449152616922873,790.173601187959,-0.207058487699905,-0.0307238000404453,-2.64700993360996,0.00828240760406703
"Exteroception - nonself","verum","ses-02",-0.153888935752087,0.0425912543877024,742.647254293583,-0.237502529783023,-0.0702753417211506,-3.61315809934257,0.000322875194764913
"Cognition - nonself","verum","ses-02",-0.12754036792294,0.0445128009200766,1202.83684241149,-0.21487173097315,-0.0402090048727298,-2.86525146220164,0.00423926530260958
