"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",18,2.06017657302637,0.0550288196962503
"intero","verum_prepost_pairedt",17,0.519399528388005,0.610592721325072
"extero","placebo_prepost_pairedt",17,2.42264759651868,0.027643149630323
"extero","verum_prepost_pairedt",15,1.37819322775653,0.189772171298055
"mental","placebo_prepost_pairedt",18,2.37553769730486,0.02955094120867
"mental","verum_prepost_pairedt",17,0.486028195700343,0.633536525469918
"visual","placebo_prepost_pairedt",18,2.07221132906332,0.0537690570102788
"visual","verum_prepost_pairedt",17,0.868778191237727,0.397813478388703
"motor","placebo_prepost_pairedt",18,2.3014674254871,0.0342864395617788
"motor","verum_prepost_pairedt",17,0.93752530877899,0.362425740689347
"auditory","placebo_prepost_pairedt",17,1.27445526217205,0.220701513822464
"auditory","verum_prepost_pairedt",17,0.354145002063759,0.727854228389734
"Pooled","baseline_welch_t",35,-0.298317387145475,0.767347164991643
"Pooled","baseline_mannwhitney",35,144,0.779061857710557
"Pooled","baseline_cohens_d",35,-0.100990397589747,NA
"intero","baseline_welch_t",35,-0.946939964897823,0.350953881650963
"intero","baseline_mannwhitney",35,124,0.346889291161608
"intero","baseline_cohens_d",35,-0.322000523692966,NA
"extero","baseline_welch_t",32,-0.812387905182654,0.423322055634653
"extero","baseline_mannwhitney",32,103,0.364773966469587
"extero","baseline_cohens_d",32,-0.289784843484758,NA
"mental","baseline_welch_t",35,-0.740026638363381,0.464634173696439
"mental","baseline_mannwhitney",35,121,0.298500251473139
"mental","baseline_cohens_d",35,-0.250954481128721,NA
"visual","baseline_welch_t",35,0.0316002657100564,0.974985482901422
"visual","baseline_mannwhitney",35,146,0.830132240640216
"visual","baseline_cohens_d",35,0.0106218839677044,NA
"motor","baseline_welch_t",35,-0.023419462453691,0.981456723450353
"motor","baseline_mannwhitney",35,154,0.986833540317941
"motor","baseline_cohens_d",35,-0.00790662665325573,NA
"auditory","baseline_welch_t",34,-0.479644262330373,0.634779082388191
"auditory","baseline_mannwhitney",34,129,0.605398424954472
"auditory","baseline_cohens_d",34,-0.164516624722763,NA
