"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",18,3.37434400391143,0.00360229224164794
"intero","verum_prepost_pairedt",17,1.05280598959083,0.308070683566048
"extero","placebo_prepost_pairedt",16,3.16421058080064,0.00641708596040024
"extero","verum_prepost_pairedt",12,2.25219558049434,0.0457135809883312
"mental","placebo_prepost_pairedt",18,1.76001478287955,0.0963852650219876
"mental","verum_prepost_pairedt",17,2.02462744750459,0.059929065162151
"visual","placebo_prepost_pairedt",18,2.87994408295094,0.0103948555669868
"visual","verum_prepost_pairedt",17,2.32722298673757,0.0334056279457323
"motor","placebo_prepost_pairedt",18,3.15816611033259,0.00574140141493386
"motor","verum_prepost_pairedt",17,1.93142140227301,0.0713422019323237
"auditory","placebo_prepost_pairedt",17,1.30150491505864,0.211514789523505
"auditory","verum_prepost_pairedt",14,-0.332965669290162,0.744468829725928
"Pooled","baseline_welch_t",35,0.36850973876937,0.714935846719139
"Pooled","baseline_mannwhitney",35,161,0.80449274880142
"Pooled","baseline_cohens_d",35,0.123708485382581,NA
"intero","baseline_welch_t",35,-1.09290515708845,0.282367935173597
"intero","baseline_mannwhitney",35,117,0.241327727515937
"intero","baseline_cohens_d",35,-0.36950188698646,NA
"extero","baseline_welch_t",30,-0.440702504351131,0.662925175061355
"extero","baseline_mannwhitney",30,100,0.632606560597687
"extero","baseline_cohens_d",30,-0.161782005487931,NA
"mental","baseline_welch_t",35,-0.814152153112836,0.421394140531478
"mental","baseline_mannwhitney",35,126,0.381775079578845
"mental","baseline_cohens_d",35,-0.274859478439473,NA
"visual","baseline_welch_t",35,0.865659122508452,0.393545061080137
"visual","baseline_mannwhitney",35,167,0.655910490044247
"visual","baseline_cohens_d",35,0.289589180252573,NA
"motor","baseline_welch_t",35,0.508596526914282,0.614584047942271
"motor","baseline_mannwhitney",35,164,0.728928182436198
"motor","baseline_cohens_d",35,0.170603377818972,NA
"auditory","baseline_welch_t",34,-0.735657466209674,0.467306508193474
"auditory","baseline_mannwhitney",34,111,0.255690251723466
"auditory","baseline_cohens_d",34,-0.252328429208964,NA
