"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",18,2.14404952449728,0.0467801699585422
"intero","verum_prepost_pairedt",17,2.19197249252097,0.0435182291929777
"extero","placebo_prepost_pairedt",18,4.59874266763922,0.000255743448952484
"extero","verum_prepost_pairedt",17,1.94923241514252,0.0690206328645709
"mental","placebo_prepost_pairedt",18,0.293540181116053,0.772662682915792
"mental","verum_prepost_pairedt",17,-0.320296143901073,0.752888770789192
"visual","placebo_prepost_pairedt",18,3.36169189098166,0.00370221991801355
"visual","verum_prepost_pairedt",17,2.95849011861707,0.00924568346246003
"motor","placebo_prepost_pairedt",18,2.55613070208718,0.020450134836681
"motor","verum_prepost_pairedt",17,2.9597785666552,0.00922091548916943
"auditory","placebo_prepost_pairedt",18,0.211995175179241,0.834631694498733
"auditory","verum_prepost_pairedt",17,0.884809273952807,0.389363004878418
"Pooled","baseline_welch_t",35,0.333511906740305,0.741108587818523
"Pooled","baseline_mannwhitney",35,151,0.960514958296063
"Pooled","baseline_cohens_d",35,0.11147369225319,NA
"intero","baseline_welch_t",35,0.156172933289478,0.876863459911218
"intero","baseline_mannwhitney",35,156,0.934239341480857
"intero","baseline_cohens_d",35,0.0525309968053769,NA
"extero","baseline_welch_t",35,0.290207481253442,0.77359925239624
"extero","baseline_mannwhitney",35,147,0.855953903363525
"extero","baseline_cohens_d",35,0.0972282932931909,NA
"mental","baseline_welch_t",35,-0.611750299047665,0.545203826150484
"mental","baseline_mannwhitney",35,138,0.632243630901909
"mental","baseline_cohens_d",35,-0.204905221257846,NA
"visual","baseline_welch_t",35,0.511827772412501,0.612257547299446
"visual","baseline_mannwhitney",35,165,0.704274613208778
"visual","baseline_cohens_d",35,0.172038135658581,NA
"motor","baseline_welch_t",35,0.378708478559966,0.707719542126825
"motor","baseline_mannwhitney",35,154,0.986833540317941
"motor","baseline_cohens_d",35,0.126376090706901,NA
"auditory","baseline_welch_t",35,-0.138138072930869,0.891063132374462
"auditory","baseline_mannwhitney",35,126,0.381775079578845
"auditory","baseline_cohens_d",35,-0.0461890097708836,NA
