"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",18,0.550431979556873,0.589183519660244
"intero","verum_prepost_pairedt",17,2.65318412194087,0.0173560770064708
"extero","placebo_prepost_pairedt",18,1.50229715753375,0.151367917956701
"extero","verum_prepost_pairedt",17,1.5754576407961,0.134714863870035
"mental","placebo_prepost_pairedt",18,0.540378993122566,0.595945105364314
"mental","verum_prepost_pairedt",17,1.09303593721443,0.290562491212357
"visual","placebo_prepost_pairedt",18,1.7550038761631,0.097262106225014
"visual","verum_prepost_pairedt",17,2.04552111549676,0.0576093902263687
"motor","placebo_prepost_pairedt",18,2.04328797893282,0.0568418729394653
"motor","verum_prepost_pairedt",17,1.9615502936257,0.0674550448274173
"auditory","placebo_prepost_pairedt",18,1.38882025237731,0.182815424856302
"auditory","verum_prepost_pairedt",17,1.24546958970656,0.230890624805734
"Pooled","baseline_welch_t",35,0.56945527335338,0.573750939950367
"Pooled","baseline_mannwhitney",35,161,0.80449274880142
"Pooled","baseline_cohens_d",35,0.19496622671326,NA
"intero","baseline_welch_t",35,0.477732536701072,0.63719087528628
"intero","baseline_mannwhitney",35,168,0.632243630901909
"intero","baseline_cohens_d",35,0.164304823557726,NA
"extero","baseline_welch_t",35,-0.0632011343326023,0.950023392978386
"extero","baseline_mannwhitney",35,148,0.881930721277946
"extero","baseline_cohens_d",35,-0.02153250647839,NA
"mental","baseline_welch_t",35,0.40646100026451,0.68748197574171
"mental","baseline_mannwhitney",35,154,0.986833540317941
"mental","baseline_cohens_d",35,0.138938344662128,NA
"visual","baseline_welch_t",35,0.916305866148349,0.367017254139739
"visual","baseline_mannwhitney",35,181,0.364070965222887
"visual","baseline_cohens_d",35,0.312695485816252,NA
"motor","baseline_welch_t",35,0.444157539879806,0.660498993704556
"motor","baseline_mannwhitney",35,174,0.498659258049882
"motor","baseline_cohens_d",35,0.15212395310605,NA
"auditory","baseline_welch_t",35,-0.255392813867927,0.800153639117912
"auditory","baseline_mannwhitney",35,145,0.80449274880142
"auditory","baseline_cohens_d",35,-0.0870120925395968,NA
