"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",20,0.497460991932971,0.62457201625394
"intero","verum_prepost_pairedt",19,1.33998750086076,0.196921084333718
"extero","placebo_prepost_pairedt",20,1.63622450146981,0.118250154377766
"extero","verum_prepost_pairedt",19,0.97190864488087,0.343976396352221
"mental","placebo_prepost_pairedt",20,1.5281873579213,0.142943356388506
"mental","verum_prepost_pairedt",19,1.92367034967356,0.0703577493245532
"visual","placebo_prepost_pairedt",20,3.07151654740785,0.00628116519568512
"visual","verum_prepost_pairedt",19,2.63307604839777,0.0168814920039414
"motor","placebo_prepost_pairedt",20,1.41429796028218,0.173452720357795
"motor","verum_prepost_pairedt",19,1.01669857943145,0.322768758807378
"auditory","placebo_prepost_pairedt",20,0.270848801657075,0.789427863303098
"auditory","verum_prepost_pairedt",19,-0.223606797749979,0.825581450455932
"Pooled","baseline_welch_t",39,0.987867479655038,0.331192450305695
"Pooled","baseline_mannwhitney",39,194.5,0.910342089131871
"Pooled","baseline_cohens_d",39,0.312006031164641,NA
"intero","baseline_welch_t",39,0.293870007598599,0.770506849897524
"intero","baseline_mannwhitney",39,204,0.677105829598534
"intero","baseline_cohens_d",39,0.0941804621312998,NA
"extero","baseline_welch_t",39,0.851806506568165,0.400333958507941
"extero","baseline_mannwhitney",39,209,0.5918791013463
"extero","baseline_cohens_d",39,0.270296135932293,NA
"mental","baseline_welch_t",39,0.352005182790387,0.726994910113095
"mental","baseline_mannwhitney",39,183,0.850876082338698
"mental","baseline_cohens_d",39,0.11177397530196,NA
"visual","baseline_welch_t",39,1.16667623137806,0.252459933214499
"visual","baseline_mannwhitney",39,214.5,0.493841197483712
"visual","baseline_cohens_d",39,0.368689091444699,NA
"motor","baseline_welch_t",39,0.797263688047789,0.431101108551691
"motor","baseline_mannwhitney",39,196.5,0.861154711158087
"motor","baseline_cohens_d",39,0.252572966582482,NA
"auditory","baseline_welch_t",39,0.154910903552323,0.877847632281895
"auditory","baseline_mannwhitney",39,143,0.156047615628085
"auditory","baseline_cohens_d",39,0.049085427262765,NA
