"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",16,1.37353637338369,0.189767500800676
"intero","verum_prepost_pairedt",16,-0.384393820323498,0.70608128266311
"extero","placebo_prepost_pairedt",20,2.59960401848533,0.0176000896237774
"extero","verum_prepost_pairedt",16,-1.64254196036794,0.121270611933268
"mental","placebo_prepost_pairedt",17,3.14999134591536,0.0061953125363393
"mental","verum_prepost_pairedt",19,1.60060479278442,0.126868695844151
"visual","placebo_prepost_pairedt",20,0.514854127882988,0.612592664703794
"visual","verum_prepost_pairedt",19,1.08690153202043,0.291421428689948
"motor","placebo_prepost_pairedt",10,1.74625957014156,0.114716732642454
"motor","verum_prepost_pairedt",9,0.753422036153389,0.472784464698616
"auditory","placebo_prepost_pairedt",19,0.915593805454209,0.37198382355785
"auditory","verum_prepost_pairedt",17,0.107440955967857,0.915774884318674
"Pooled","baseline_welch_t",39,-0.539418885706973,0.592832156773357
"Pooled","baseline_mannwhitney",39,163,0.456522203124686
"Pooled","baseline_cohens_d",39,-0.172437293114691,NA
"intero","baseline_welch_t",37,-1.04260991897205,0.30508463571665
"intero","baseline_mannwhitney",37,135,0.280706592846158
"intero","baseline_cohens_d",37,-0.345652915448672,NA
"extero","baseline_welch_t",37,-2.19914384506571,0.0357037949335568
"extero","baseline_mannwhitney",37,101,0.0368327822177403
"extero","baseline_cohens_d",37,-0.740402645341465,NA
"mental","baseline_welch_t",38,0.20283194843546,0.840677657116509
"mental","baseline_mannwhitney",38,163,0.619675216883651
"mental","baseline_cohens_d",38,0.0658073738518437,NA
"visual","baseline_welch_t",39,0.337594176411985,0.73798132500307
"visual","baseline_mannwhitney",39,177,0.725423547423111
"visual","baseline_cohens_d",39,0.106716388035034,NA
"motor","baseline_welch_t",28,-1.01959305733471,0.318187437178631
"motor","baseline_mannwhitney",28,72,0.241331242226448
"motor","baseline_cohens_d",28,-0.385369952599381,NA
"auditory","baseline_welch_t",37,-0.654935137019858,0.517138929773692
"auditory","baseline_mannwhitney",37,155,0.637643396957941
"auditory","baseline_cohens_d",37,-0.216812839307226,NA
