"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",15,0.802825737717638,0.435493549573508
"intero","verum_prepost_pairedt",16,0.947128479833957,0.358582809715644
"extero","placebo_prepost_pairedt",20,4.46275623017662,0.000266816635480778
"extero","verum_prepost_pairedt",15,1.65060098260125,0.121065989727506
"mental","placebo_prepost_pairedt",17,0.413653922109714,0.684619027424187
"mental","verum_prepost_pairedt",18,2.63102040000081,0.0175175291613242
"visual","placebo_prepost_pairedt",20,2.82548716969155,0.0108060071416649
"visual","verum_prepost_pairedt",17,2.03022537567697,0.0592993842642694
"motor","placebo_prepost_pairedt",7,1.1323499935761,0.300701533385988
"motor","verum_prepost_pairedt",5,2.86956296619644,0.0454886390782019
"auditory","placebo_prepost_pairedt",17,0.684940271105704,0.503184266374995
"auditory","verum_prepost_pairedt",15,0.810631091554007,0.431142625451603
"Pooled","baseline_welch_t",39,0.275444866117809,0.784522343066702
"Pooled","baseline_mannwhitney",39,194,0.921661117522985
"Pooled","baseline_cohens_d",39,0.087888288238162,NA
"intero","baseline_welch_t",38,-0.232234188125759,0.817673435538504
"intero","baseline_mannwhitney",38,170,0.781215760774548
"intero","baseline_cohens_d",38,-0.0751750037527479,NA
"extero","baseline_welch_t",37,-0.850236583120048,0.401527983521651
"extero","baseline_mannwhitney",37,143,0.41931132425114
"extero","baseline_cohens_d",37,-0.283912185050585,NA
"mental","baseline_welch_t",37,0.217903606250327,0.828776223150183
"mental","baseline_mannwhitney",37,177,0.867269563604284
"mental","baseline_cohens_d",37,0.0717051650505815,NA
"visual","baseline_welch_t",38,1.03439431366104,0.308586325021912
"visual","baseline_mannwhitney",38,200,0.568618208663594
"visual","baseline_cohens_d",38,0.328399152171634,NA
"motor","baseline_welch_t",20,-0.233586901443156,0.818764252482702
"motor","baseline_mannwhitney",20,54,0.761207985800961
"motor","baseline_cohens_d",20,-0.109105466169495,NA
"auditory","baseline_welch_t",35,-0.418104631989286,0.67878100821867
"auditory","baseline_mannwhitney",35,146,0.830132240640216
"auditory","baseline_cohens_d",35,-0.142306441679215,NA
