"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",20,1.5228816110981,0.144259071250988
"intero","verum_prepost_pairedt",19,2.43277606283517,0.0256387477655665
"extero","placebo_prepost_pairedt",20,1.74228652882944,0.097622679522678
"extero","verum_prepost_pairedt",19,-0.918005670132952,0.370753639145534
"mental","placebo_prepost_pairedt",20,0.758440609423179,0.457492892151038
"mental","verum_prepost_pairedt",19,2.36007202367092,0.0297626563553791
"visual","placebo_prepost_pairedt",20,4.05639154934827,0.000673594923943414
"visual","verum_prepost_pairedt",19,2.06906725943787,0.0532107224832193
"motor","placebo_prepost_pairedt",20,2.63060656827151,0.0164715746728058
"motor","verum_prepost_pairedt",19,1.84311030515307,0.0818437526909125
"auditory","placebo_prepost_pairedt",20,0.12752122960468,0.899867858868248
"auditory","verum_prepost_pairedt",19,-0.16685176983817,0.869346753400678
"Pooled","baseline_welch_t",39,0.160310237607696,0.873603518509242
"Pooled","baseline_mannwhitney",39,181,0.811237885899334
"Pooled","baseline_cohens_d",39,0.0508467512010379,NA
"intero","baseline_welch_t",39,-0.57493182933044,0.569140261983204
"intero","baseline_mannwhitney",39,140,0.164277004759903
"intero","baseline_cohens_d",39,-0.182472579706544,NA
"extero","baseline_welch_t",39,-0.690919643033885,0.493928219549482
"extero","baseline_mannwhitney",39,162,0.43970983561557
"extero","baseline_cohens_d",39,-0.221027153765392,NA
"mental","baseline_welch_t",39,0.561326987417002,0.577958996363845
"mental","baseline_mannwhitney",39,188,0.966382021833657
"mental","baseline_cohens_d",39,0.179552219593118,NA
"visual","baseline_welch_t",39,0.498923091567325,0.620962732067638
"visual","baseline_mannwhitney",39,191,0.988791058332478
"visual","baseline_cohens_d",39,0.158599276179167,NA
"motor","baseline_welch_t",39,-0.313335329077236,0.755941243643345
"motor","baseline_mannwhitney",39,177,0.725423547423111
"motor","baseline_cohens_d",39,-0.0994656142026493,NA
"auditory","baseline_welch_t",39,-0.524929353954354,0.60279472168852
"auditory","baseline_mannwhitney",39,141,0.172966876642085
"auditory","baseline_cohens_d",39,-0.167496089278796,NA
