"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",18,0.502794831670449,0.621559749108816
"intero","verum_prepost_pairedt",17,0.9686710727749,0.347125181990414
"extero","placebo_prepost_pairedt",18,0.71994632253155,0.48134008197955
"extero","verum_prepost_pairedt",17,0.136947317723553,0.892780886211362
"mental","placebo_prepost_pairedt",18,-0.236113647609995,0.816165759936077
"mental","verum_prepost_pairedt",17,-1.10077073418944,0.287281917021729
"visual","placebo_prepost_pairedt",18,0.594660014542747,0.559902966720559
"visual","verum_prepost_pairedt",17,1.08082439366806,0.295797874524023
"motor","placebo_prepost_pairedt",18,1.76486816067255,0.0955425664428048
"motor","verum_prepost_pairedt",17,1.24663588421784,0.230473684040717
"auditory","placebo_prepost_pairedt",18,1.41664638887999,0.174650718406023
"auditory","verum_prepost_pairedt",17,1.45965413986471,0.163740301123709
"Pooled","baseline_welch_t",35,0.334413144552513,0.740598415315348
"Pooled","baseline_mannwhitney",35,168,0.632243630901909
"Pooled","baseline_cohens_d",35,0.11440230007218,NA
"intero","baseline_welch_t",35,0.0804232328083726,0.93644924959029
"intero","baseline_mannwhitney",35,167,0.655910490044247
"intero","baseline_cohens_d",35,0.0274439491848499,NA
"extero","baseline_welch_t",35,0.454110779672074,0.653097744818188
"extero","baseline_mannwhitney",35,170,0.586041623007637
"extero","baseline_cohens_d",35,0.154944250533438,NA
"mental","baseline_welch_t",35,-0.975123357793672,0.336683469219105
"mental","baseline_mannwhitney",35,124,0.346889291161608
"mental","baseline_cohens_d",35,-0.3281285871174,NA
"visual","baseline_welch_t",35,0.731887448578139,0.470939819439548
"visual","baseline_mannwhitney",35,176,0.457717434427446
"visual","baseline_cohens_d",35,0.251164709531162,NA
"motor","baseline_welch_t",35,0.569359711566784,0.573534761788924
"motor","baseline_mannwhitney",35,183,0.330232792992423
"motor","baseline_cohens_d",35,0.194431971703826,NA
"auditory","baseline_welch_t",35,-0.727624420951521,0.47337342316899
"auditory","baseline_mannwhitney",35,129,0.43797600121511
"auditory","baseline_cohens_d",35,-0.249524651196818,NA
