"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",18,-0.16618233725009,0.869973906018088
"intero","verum_prepost_pairedt",17,1.03088467157848,0.317927215276334
"extero","placebo_prepost_pairedt",18,1.88693157459268,0.0763674440152014
"extero","verum_prepost_pairedt",17,1.75202399499104,0.098909688057243
"mental","placebo_prepost_pairedt",18,1.12195927007184,0.277477470212025
"mental","verum_prepost_pairedt",17,-0.882568731008247,0.390536822775134
"visual","placebo_prepost_pairedt",18,2.34129017193691,0.0316589605140806
"visual","verum_prepost_pairedt",17,2.0540507186401,0.056686122925518
"motor","placebo_prepost_pairedt",18,2.01464071308952,0.0600413827287974
"motor","verum_prepost_pairedt",17,1.96487987517908,0.0670373868901153
"auditory","placebo_prepost_pairedt",18,0.348408575965813,0.731810723039408
"auditory","verum_prepost_pairedt",17,1.01635951978464,0.324581760774626
"Pooled","baseline_welch_t",35,0.0996370021845775,0.921304530003588
"Pooled","baseline_mannwhitney",35,153,1
"Pooled","baseline_cohens_d",35,0.0339791814259219,NA
"intero","baseline_welch_t",35,0.73411574207554,0.468289420537605
"intero","baseline_mannwhitney",35,174,0.498659258049882
"intero","baseline_cohens_d",35,0.249389038938689,NA
"extero","baseline_welch_t",35,-0.356968254875364,0.723438837770941
"extero","baseline_mannwhitney",35,143,0.753865329868274
"extero","baseline_cohens_d",35,-0.121050252992658,NA
"mental","baseline_welch_t",35,-1.82533834377409,0.0780837005384338
"mental","baseline_mannwhitney",35,99,0.0774355985017524
"mental","baseline_cohens_d",35,-0.622566117666157,NA
"visual","baseline_welch_t",35,0.894983451102766,0.378301200595644
"visual","baseline_mannwhitney",35,170,0.586041623007637
"visual","baseline_cohens_d",35,0.305761163476588,NA
"motor","baseline_welch_t",35,0.0717923613366314,0.943207532377756
"motor","baseline_mannwhitney",35,157,0.908035177531328
"motor","baseline_cohens_d",35,0.0243294338239723,NA
"auditory","baseline_welch_t",35,-1.01996069149326,0.316190064209313
"auditory","baseline_mannwhitney",35,123,0.330232792992423
"auditory","baseline_cohens_d",35,-0.348186395947689,NA
