"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",20,-0.207675083633287,0.83769243943508
"intero","verum_prepost_pairedt",19,-0.168885759399243,0.867769847305639
"extero","placebo_prepost_pairedt",20,0.0565341838267939,0.955506561969894
"extero","verum_prepost_pairedt",19,1.80794629867034,0.0873548344270445
"mental","placebo_prepost_pairedt",20,0.29246523067056,0.773100771034927
"mental","verum_prepost_pairedt",19,0.277199823860765,0.784785043919948
"visual","placebo_prepost_pairedt",20,1.46212992584764,0.160049772751599
"visual","verum_prepost_pairedt",19,2.78771796180915,0.0121522177021518
"motor","placebo_prepost_pairedt",20,1.08424868809904,0.291821771988857
"motor","verum_prepost_pairedt",19,1.73643252365161,0.0995711658179024
"auditory","placebo_prepost_pairedt",20,0.218963379039695,0.829013524668976
"auditory","verum_prepost_pairedt",19,0.717798180765875,0.482094655201032
"Pooled","baseline_welch_t",39,0.195299292778648,0.846228405824412
"Pooled","baseline_mannwhitney",39,195,0.899384365387643
"Pooled","baseline_cohens_d",39,0.0625350353525143,NA
"intero","baseline_welch_t",39,-1.08559046490144,0.286087604705008
"intero","baseline_mannwhitney",39,162,0.43970983561557
"intero","baseline_cohens_d",39,-0.351471998410722,NA
"extero","baseline_welch_t",39,0.804095101607341,0.427041483746235
"extero","baseline_mannwhitney",39,196,0.877186608744119
"extero","baseline_cohens_d",39,0.255028655898164,NA
"mental","baseline_welch_t",39,-1.10105853277661,0.2782789136085
"mental","baseline_mannwhitney",39,133,0.112396516197862
"mental","baseline_cohens_d",39,-0.354159085402108,NA
"visual","baseline_welch_t",39,0.968292828990596,0.33925457673324
"visual","baseline_mannwhitney",39,234,0.221615186264651
"visual","baseline_cohens_d",39,0.308921011431986,NA
"motor","baseline_welch_t",39,0.123761483068001,0.902196389828305
"motor","baseline_mannwhitney",39,196,0.877186608744119
"motor","baseline_cohens_d",39,0.0397853143818445,NA
"auditory","baseline_welch_t",39,-0.778907816163425,0.441675685037429
"auditory","baseline_mannwhitney",39,151,0.27936069032907
"auditory","baseline_cohens_d",39,-0.25167121246622,NA
