"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",18,-0.186301652321248,0.854413258121174
"intero","verum_prepost_pairedt",17,0.510987132021083,0.616338401148345
"extero","placebo_prepost_pairedt",18,-0.040653228987407,0.968045983978401
"extero","verum_prepost_pairedt",17,2.34512773332334,0.0322449688452588
"mental","placebo_prepost_pairedt",18,-0.044561822221402,0.96497583214451
"mental","verum_prepost_pairedt",17,0.829670128665114,0.418932338542609
"visual","placebo_prepost_pairedt",18,1.23407784991944,0.23396280825315
"visual","verum_prepost_pairedt",17,2.66804995856726,0.0168372096429576
"auditory","placebo_prepost_pairedt",18,-0.0836119663256344,0.934341640932782
"auditory","verum_prepost_pairedt",17,1.29329007714144,0.214272208135201
"Pooled","baseline_welch_t",35,0.645376148892884,0.523194406630406
"Pooled","baseline_mannwhitney",35,176,0.457717434427446
"Pooled","baseline_cohens_d",35,0.218561590470446,NA
"intero","baseline_welch_t",35,-0.638150063977187,0.528814336025556
"intero","baseline_mannwhitney",35,143,0.753865329868274
"intero","baseline_cohens_d",35,-0.218591175292441,NA
"extero","baseline_welch_t",35,0.944830055882181,0.352407976004598
"extero","baseline_mannwhitney",35,163,0.753865329868274
"extero","baseline_cohens_d",35,0.315836597853941,NA
"mental","baseline_welch_t",35,-0.550320534908879,0.586144669882816
"mental","baseline_mannwhitney",35,120,0.283423766165221
"mental","baseline_cohens_d",35,-0.187472274882878,NA
"visual","baseline_welch_t",35,1.34919476546103,0.186469322796517
"visual","baseline_mannwhitney",35,205,0.0891773424298969
"visual","baseline_cohens_d",35,0.455949114765861,NA
"auditory","baseline_welch_t",35,-0.421526382710374,0.676490957551897
"auditory","baseline_mannwhitney",35,134,0.541470392439108
"auditory","baseline_cohens_d",35,-0.143915858365074,NA
