"term","estimate","SE","df","t_value","p_value"
"(Intercept)",2.77610956812964,0.0663694454007232,39.8801465009512,41.8281266532836,1.45589396424682e-34
"groupverum",0.0563086710064535,0.0905386238661485,33.0329158480869,0.621929830628967,0.538257259794198
"sessionses-02",0.124901355232256,0.0704735746133728,33.0528075714882,1.77231474233401,0.0855606941812213
"layer.L",0.105442672658157,0.0446335440424182,58.626087027274,2.36240869777108,0.0214957571987861
"layer.Q",-0.00689432757847597,0.0418680054659433,58.6260868963294,-0.164668163714749,0.869771632226729
"groupverum:sessionses-02",-0.00274185887350549,0.101119720877993,33.0528075087972,-0.0271149766801048,0.978531083837274
"groupverum:layer.L",-0.00368804763935038,0.0363238819879223,2478.00001491336,-0.101532309805892,0.919136124972289
"groupverum:layer.Q",0.0210445095590771,0.0340732182989829,2478.00001413255,0.617626118390622,0.536878575448471
"sessionses-02:layer.L",-0.00118659968682574,0.0358012089543936,2478.00001452276,-0.0331441233824626,0.973562326017827
"sessionses-02:layer.Q",-0.0240149024582939,0.0335829306040626,2478.00001409692,-0.715092519513137,0.474619240984124
"groupverum:sessionses-02:layer.L",0.0218630313010733,0.0513697265453595,2478.00001467699,0.425601473306817,0.670435225800604
"groupverum:sessionses-02:layer.Q",0.0846577400950627,0.0481868074321206,2478.00001396742,1.75686551167179,0.0790642279579569
