"dropped_roi","roi_name","layer","b_3way_L","p_3way_L","converged"
"1","Interoception_R_Insula","Interoception",0.0217415846034512,0.673564482255314,TRUE
"2","Interoception_L_DACC","Interoception",0.0313967794746926,0.552948686752908,TRUE
"3","Interoception_R_Thalamus","Interoception",0.0124746362703081,0.813547105505246,TRUE
"4","Interoception_R_Parahippocampal","Interoception",0.032828532339409,0.533968260919278,TRUE
"5","Interoception_L_Parahippocampal","Interoception",0.0328489513081201,0.534132223854254,TRUE
"6","Interoception_L_Insula_1","Interoception",0.0367335413981859,0.486650517449056,TRUE
"7","Interoception_L_Insula_2","Interoception",0.021915725011304,0.678668826985932,TRUE
"8","Interoception_R_IPL","Interoception",0.00748407984825149,0.886686428743386,TRUE
"9","Interoception_R_SFG","Interoception",0.00642712653059702,0.902094920941359,TRUE
"10","Interoception_L_STG","Interoception",0.0112893587909539,0.829733945865779,TRUE
"11","Interoception_L_Postcentral","Interoception",0.0253530287366086,0.631096012490063,TRUE
"12","Exteroception_R_Fusiform","Exteroception",0.0218630313010746,0.670834296078102,TRUE
"13","Exteroception_R_IFG","Exteroception",0.0218630313010755,0.6691999208034,TRUE
"14","Exteroception_R_Premotor","Exteroception",0.0218630313010708,0.671073363389466,TRUE
"15","Exteroception_R_Insula","Exteroception",0.0218630313010761,0.668438512035257,TRUE
"16","Exteroception_L_Fusiform","Exteroception",0.0218630313010698,0.671530828459526,TRUE
"17","Exteroception_R_SPL","Exteroception",0.021863031301071,0.671020408856965,TRUE
"18","Exteroception_R_Postcentral","Exteroception",0.0218630313010727,0.668574712571499,TRUE
"19","Exteroception_R_IPL","Exteroception",0.0218630313010671,0.669713625537545,TRUE
"20","Exteroception_L_Insula","Exteroception",0.0218630313010717,0.671281347156387,TRUE
"21","Exteroception_R_IOG","Exteroception",0.0218630313010691,0.671797622458266,TRUE
"22","Exteroception_L_IPL","Exteroception",0.0218630313010704,0.673005507398154,TRUE
"23","Exteroception_L_SPL","Exteroception",0.0218630313010746,0.670225616112259,TRUE
"24","Exteroception_R_Cingulate","Exteroception",0.0218630313010748,0.671885449084829,TRUE
"25","Exteroception_L_mPFC","Exteroception",0.0218630313010716,0.67208933298514,TRUE
"26","Cognition_L_ACC","Cognition",0.0158988714330268,0.762345514247186,TRUE
"27","Cognition_L_PCC","Cognition",0.0288015229429294,0.582261035422354,TRUE
"28","Cognition_L_Insula","Cognition",0.0333377690604438,0.527627385922045,TRUE
"29","Cognition_L_MTG","Cognition",0.0194261047505553,0.712724825022449,TRUE
"30","Cognition_L_Thalamus","Cognition",0.0155754659689625,0.76712568087554,TRUE
"31","Cognition_L_SFG_1","Cognition",0.0133743644242251,0.799445659538698,TRUE
"32","Cognition_Cingulate","Cognition",0.025256444080994,0.630906045232137,TRUE
"33","Cognition_L_ITG","Cognition",0.0249433522789951,0.63599859110298,TRUE
"34","Cognition_R_MTG","Cognition",0.0255227000625227,0.628218670447066,TRUE
"35","Cognition_R_Insula","Cognition",0.00774436506000218,0.879001711232919,TRUE
"36","Cognition_L_SFG_2","Cognition",0.0209483093121196,0.690271856970639,TRUE
"37","Cognition_R_Premotor","Cognition",0.0315271062381721,0.547828725781521,TRUE
