"roi_uid","roi_name","atlas_source","region_category","placebo","verum","drug_ses_effect"
"nonself_1","R_V1_ROI","nonself","Sensory-Motor",0.26291062281023,-0.0568025588561821,-0.319713181666412
"nonself_100","R_FOP2_ROI","nonself","Sensory-Motor",-0.0346668582540533,0.0411276215511582,0.0757944798052115
"nonself_104","R_ProS_ROI","nonself","Sensory-Motor",0.132991495527154,0.185963972893027,0.0529724773658728
"nonself_107","R_PBelt_ROI","nonself","Sensory-Motor",-0.157671064634423,0.105064938246431,0.262736002880854
"nonself_124","R_DVT_ROI","nonself","Sensory-Motor",0.254780464575608,0.189266541730497,-0.0655139228451111
"nonself_13","R_V3A_ROI","nonself","Sensory-Motor",0.463976019435142,0.0796280855952,-0.384347933839942
"nonself_131","R_V6A_ROI","nonself","Sensory-Motor",0.433101809666493,0.0334046502462188,-0.399697159420274
"nonself_132","R_VMV1_ROI","nonself","Sensory-Motor",0.384712662856301,0.285081812236599,-0.0996308506197022
"nonself_133","R_VMV3_ROI","nonself","Sensory-Motor",0.178258270158955,0.252457526148444,0.0741992559894886
"nonself_135","R_V4t_ROI","nonself","Sensory-Motor",0.147844819126162,0.176919200297136,0.0290743811709746
"nonself_136","R_FST_ROI","nonself","Sensory-Motor",0.460624651206453,0.18626319724898,-0.274361453957473
"nonself_137","R_V3CD_ROI","nonself","Sensory-Motor",0.350119621970171,0.252811251755578,-0.0973083702145928
"nonself_139","R_VMV2_ROI","nonself","Sensory-Motor",0.258016991321955,0.19798066645769,-0.0600363248642648
"nonself_142","R_VVC_ROI","nonself","Sensory-Motor",0.173832538960885,0.119400052821779,-0.0544324861391058
"nonself_147","R_Ig_ROI","nonself","Sensory-Motor",0.147280184882039,0.124135129727985,-0.023145055154054
"nonself_152","R_MBelt_ROI","nonself","Sensory-Motor",0.00234515695042243,0.0953906609702855,0.0930455040198631
"nonself_153","R_LBelt_ROI","nonself","Sensory-Motor",-7.10227551386438e-05,0.092782648141697,0.0928536708968357
"nonself_154","R_A4_ROI","nonself","Sensory-Motor",0.110585910800187,0.0183674317613482,-0.0922184790388388
"nonself_16","R_V7_ROI","nonself","Sensory-Motor",0.0567353319742061,0.147702021823814,0.0909666898496078
"nonself_160","L_V1_ROI","nonself","Sensory-Motor",0.209348230058931,0.0771096431935216,-0.132238586865409
"nonself_161","L_MST_ROI","nonself","Sensory-Motor",0.0807519368019449,0.176895532140613,0.0961435953386676
"nonself_162","L_V6_ROI","nonself","Sensory-Motor",0.131040550172039,0.0814965428829845,-0.0495440072890544
"nonself_163","L_V2_ROI","nonself","Sensory-Motor",0.196664314952142,0.0775875187130914,-0.11907679623905
"nonself_164","L_V3_ROI","nonself","Sensory-Motor",0.0115579097054754,0.0945341334828951,0.0829762237774198
"nonself_165","L_V4_ROI","nonself","Sensory-Motor",0.215150522074996,0.0873564764986418,-0.127794045576354
"nonself_166","L_V8_ROI","nonself","Sensory-Motor",0.362017520179619,0.273111628832768,-0.0889058913468508
"nonself_167","L_4_ROI","nonself","Sensory-Motor",-0.0588664354950181,0.00278875226597333,0.0616551877609914
"nonself_171","L_V3A_ROI","nonself","Sensory-Motor",0.132141239488188,0.333281620387843,0.201140380899656
"nonself_174","L_V7_ROI","nonself","Sensory-Motor",0.288753307704582,0.0523222894861238,-0.236431018218458
"nonself_175","L_IPS1_ROI","nonself","Sensory-Motor",0.17856946994113,0.14322463523473,-0.0353448347064003
"nonself_176","L_FFC_ROI","nonself","Sensory-Motor",0.168278217111896,0.027797473094182,-0.140480744017714
"nonself_177","L_V3B_ROI","nonself","Sensory-Motor",0.298370227817538,0.140878754965706,-0.157491472851832
"nonself_178","L_LO1_ROI","nonself","Sensory-Motor",0.293365259916064,0.170956427050645,-0.12240883286542
"nonself_179","L_LO2_ROI","nonself","Sensory-Motor",0.224640937662071,0.093553553337623,-0.131087384324448
"nonself_18","R_V3B_ROI","nonself","Sensory-Motor",0.36545830678757,0.179184110201237,-0.186274196586333
"nonself_180","L_PIT_ROI","nonself","Sensory-Motor",0.297546930317886,0.155663136183438,-0.141883794134448
"nonself_181","L_MT_ROI","nonself","Sensory-Motor",0.376764459778274,0.0583244210112918,-0.318440038766982
"nonself_182","L_A1_ROI","nonself","Sensory-Motor",0.0553118632613197,0.013779286342152,-0.0415325769191677
"nonself_192","L_5m_ROI","nonself","Sensory-Motor",0.293947321882582,0.0238312420362656,-0.270116079846316
"nonself_195","L_5L_ROI","nonself","Sensory-Motor",0.318054617704544,0.163949985726178,-0.154104631978365
"nonself_196","L_24dv_ROI","nonself","Sensory-Motor",0.12028361942737,-0.052298408773352,-0.172582028200722
"nonself_197","L_7AL_ROI","nonself","Sensory-Motor",0.146703884104783,0.0872577067230872,-0.0594461773816957
"nonself_2","R_MST_ROI","nonself","Sensory-Motor",0.174364115247536,0.189448370323027,0.0150842550754911
"nonself_202","L_7PC_ROI","nonself","Sensory-Motor",0.239752739041889,-0.0436048190410798,-0.283357558082969
"nonself_203","L_LIPv_ROI","nonself","Sensory-Motor",0.0358747386468814,0.0193317478945473,-0.016542990752334
"nonself_204","L_VIP_ROI","nonself","Sensory-Motor",0.306365541233836,0.066628576395114,-0.239736964838722
