"metric","atlas","pipeline","layer","effect","ci_low","ci_high","sd_verum","sd_placebo","p_raw","p_fdr","p_raw_resid","p_fdr_resid","n_verum","n_placebo","n_dropped"
"AUC","qinspheres","detrend","intero",-0.6313,-2.089,0.6001,1.5747,2.1174,0.4008,0.7954,0.3456,0.5858,14,14,81
"AUC","qinspheres","detrend","extero",-1.6279,-2.6324,-0.6136,1.2198,1.7861,0.0072,0.0432,0.0052,0.0312,14,18,64
"AUC","qinspheres","detrend","cognition",-0.2911,-1.1524,0.5879,1.2873,1.3229,0.5302,0.7954,0.1077,0.3231,17,15,44
"AUC","qinspheres","detrend","visual",0.0671,-0.9662,1.3498,0.7768,2.4635,0.934,0.934,0.9976,0.9976,17,18,8
"AUC","qinspheres","detrend","motor",-0.2632,-1.4445,0.8261,1.1575,1.315,0.6878,0.8254,0.4882,0.5858,7,9,763
"AUC","qinspheres","detrend","auditory",-0.4472,-1.4925,0.5692,1.3617,1.7096,0.4224,0.7954,0.4647,0.5858,15,17,45
"SampEn","qinspheres","detrend","intero",0.0321,-0.1546,0.2194,0.2907,0.3058,0.7506,0.9795,0.6094,0.9142,17,18,4
"SampEn","qinspheres","detrend","extero",-0.0314,-0.206,0.1394,0.2924,0.2423,0.7324,0.9795,0.9946,0.9946,17,18,1
"SampEn","qinspheres","detrend","cognition",-0.047,-0.2325,0.1406,0.2449,0.3309,0.6321,0.9795,0.9307,0.9946,17,18,9
"SampEn","qinspheres","detrend","visual",0.0361,-0.1334,0.2063,0.2743,0.2552,0.6871,0.9795,0.2722,0.9142,17,18,16
"SampEn","qinspheres","detrend","motor",0.0024,-0.1744,0.1807,0.3197,0.2265,0.9795,0.9795,0.5798,0.9142,17,18,7
"SampEn","qinspheres","detrend","auditory",0.0089,-0.1793,0.1995,0.3016,0.2932,0.9313,0.9795,0.562,0.9142,17,18,4
"AUC","qinspheres","glm","intero",-7e-04,-0.3282,0.3374,0.5454,0.3758,0.9964,0.9964,0.7747,0.9537,15,13,79
"AUC","qinspheres","glm","extero",-0.1877,-0.4864,0.1181,0.4392,0.4427,0.2604,0.5975,0.2389,0.9093,13,18,74
"AUC","qinspheres","glm","cognition",0.2524,-0.0647,0.5681,0.4301,0.52,0.1424,0.5975,0.4547,0.9093,17,15,42
"AUC","qinspheres","glm","visual",-0.1306,-0.6423,0.3734,0.7367,0.8429,0.6357,0.9514,0.9537,0.9537,17,18,3
"AUC","qinspheres","glm","motor",0.2689,-0.1895,0.6966,0.3983,0.4332,0.2988,0.5975,0.3825,0.9093,5,6,1080
"AUC","qinspheres","glm","auditory",-0.0474,-0.3442,0.297,0.4346,0.459,0.7928,0.9514,0.9005,0.9537,13,15,99
"SampEn","qinspheres","glm","intero",0.0891,-0.1102,0.2944,0.3054,0.3262,0.4144,0.9713,0.3458,0.6994,17,18,5
"SampEn","qinspheres","glm","extero",-0.0524,-0.214,0.1137,0.1965,0.3057,0.5461,0.9713,0.6288,0.6994,17,18,0
"SampEn","qinspheres","glm","cognition",-0.1185,-0.2715,0.0415,0.2059,0.2815,0.1643,0.9713,0.2248,0.6994,17,18,5
