subject,session,pcf,pcf_sq,mean_fd_retained,n_retained,retained_min
sub-01,ses-01,22.0833,487.6736,0.1775,187,5.61
sub-01,ses-02,17.0833,291.8403,0.1658,199,5.97
sub-02,ses-01,1.25,1.5625,0.1274,237,7.11
sub-02,ses-02,15.4167,237.6736,0.1774,203,6.09
sub-03,ses-01,10.4167,108.5069,0.1402,215,6.45
sub-03,ses-02,19.5833,383.5069,0.1482,193,5.79
sub-04,ses-01,12.0833,146.0069,0.1548,211,6.33
sub-04,ses-02,13.3333,177.7778,0.1638,208,6.24
sub-05,ses-01,30.8333,950.6944,0.1829,166,4.98
sub-05,ses-02,31.25,976.5625,0.1942,165,4.95
sub-06,ses-01,51.25,2626.5625,0.189,117,3.51
sub-06,ses-02,37.9167,1437.6736,0.1882,149,4.47
sub-07,ses-01,15.0,225.0,0.1739,204,6.12
sub-07,ses-02,36.6667,1344.4444,0.199,152,4.56
sub-08,ses-01,15.0,225.0,0.1541,204,6.12
sub-08,ses-02,50.4167,2541.8403,0.1862,119,3.57
sub-09,ses-01,10.0,100.0,0.1518,216,6.48
sub-09,ses-02,7.9167,62.6736,0.1566,221,6.63
sub-10,ses-01,39.1667,1534.0278,0.1993,146,4.38
sub-10,ses-02,47.9167,2296.0069,0.2051,125,3.75
sub-11,ses-01,49.1667,2417.3611,0.2095,122,3.66
sub-11,ses-02,32.5,1056.25,0.1846,162,4.86
sub-12,ses-01,80.8333,6534.0278,0.2,46,1.38
sub-12,ses-02,85.8333,7367.3611,0.245,34,1.02
sub-13,ses-01,15.4167,237.6736,0.1663,203,6.09
sub-13,ses-02,21.25,451.5625,0.1832,189,5.67
sub-14,ses-01,2.5,6.25,0.1251,234,7.02
sub-14,ses-02,1.25,1.5625,0.1136,237,7.11
sub-15,ses-01,41.25,1701.5625,0.1956,141,4.23
sub-15,ses-02,43.75,1914.0625,0.1957,135,4.05
sub-16,ses-01,32.9167,1083.5069,0.1721,161,4.83
sub-16,ses-02,32.9167,1083.5069,0.1752,161,4.83
sub-17,ses-01,39.1667,1534.0278,0.1923,146,4.38
sub-17,ses-02,35.0,1225.0,0.1878,156,4.68
sub-18,ses-01,0.0,0.0,0.1201,240,7.2
sub-18,ses-02,0.8333,0.6944,0.1231,238,7.14
sub-19,ses-01,5.4167,29.3403,0.1512,227,6.81
sub-19,ses-02,18.75,351.5625,0.1607,195,5.85
sub-20,ses-01,12.0833,146.0069,0.1638,211,6.33
sub-20,ses-02,18.75,351.5625,0.1774,195,5.85
sub-21,ses-01,48.3333,2336.1111,0.193,124,3.72
sub-21,ses-02,34.5833,1196.0069,0.1962,157,4.71
sub-22,ses-01,19.1667,367.3611,0.176,194,5.82
sub-22,ses-02,32.0833,1029.3403,0.205,163,4.89
sub-23,ses-01,19.5833,383.5069,0.1737,193,5.79
sub-23,ses-02,16.6667,277.7778,0.1672,200,6.0
sub-24,ses-01,32.5,1056.25,0.1807,162,4.86
sub-24,ses-02,31.6667,1002.7778,0.1822,164,4.92
sub-25,ses-01,26.6667,711.1111,0.1653,176,5.28
sub-25,ses-02,3.75,14.0625,0.147,231,6.93
sub-26,ses-01,56.25,3164.0625,0.1759,105,3.15
sub-26,ses-02,30.0,900.0,0.1766,168,5.04
sub-27,ses-01,18.75,351.5625,0.1537,195,5.85
sub-27,ses-02,5.4167,29.3403,0.143,227,6.81
sub-28,ses-01,9.1667,84.0278,0.1603,218,6.54
sub-28,ses-02,4.1667,17.3611,0.1414,230,6.9
sub-29,ses-01,32.5,1056.25,0.1755,162,4.86
sub-29,ses-02,35.8333,1284.0278,0.187,154,4.62
sub-30,ses-01,40.0,1600.0,0.1972,144,4.32
sub-30,ses-02,21.25,451.5625,0.1788,189,5.67
sub-31,ses-01,15.0,225.0,0.1764,204,6.12
sub-31,ses-02,5.8333,34.0278,0.1636,226,6.78
sub-32,ses-01,5.0,25.0,0.1324,228,6.84
sub-32,ses-02,13.3333,177.7778,0.1913,208,6.24
sub-33,ses-01,42.0833,1771.0069,0.1629,139,4.17
sub-33,ses-02,49.5833,2458.5069,0.1986,121,3.63
sub-34,ses-01,35.0,1225.0,0.1844,156,4.68
sub-34,ses-02,14.1667,200.6944,0.1717,206,6.18
sub-35,ses-01,14.5833,212.6736,0.1784,205,6.15
sub-35,ses-02,6.6667,44.4444,0.1462,224,6.72
sub-36,ses-01,26.25,689.0625,0.1834,177,5.31
sub-36,ses-02,52.0833,2712.6736,0.1925,115,3.45
sub-37,ses-01,7.5,56.25,0.1542,222,6.66
sub-37,ses-02,17.9167,321.0069,0.1726,197,5.91
sub-38,ses-01,15.4167,237.6736,0.1694,203,6.09
sub-38,ses-02,9.5833,91.8403,0.1699,217,6.51
sub-39,ses-01,10.0,100.0,0.1605,216,6.48
sub-39,ses-02,4.5833,21.0069,0.152,229,6.87
sub-40,ses-01,2.9167,8.5069,0.1487,233,6.99
sub-40,ses-02,3.3333,11.1111,0.1324,232,6.96
