subject,pcf_pre,pcf_post,pcf_diff,pcf_sq_pre,pcf_sq_post,pcf_sq_diff,mean_fd_retained_pre,mean_fd_retained_post,mean_fd_retained_diff,n_retained_pre,n_retained_post,n_retained_diff,retained_min_pre,retained_min_post,retained_min_diff
sub-01,22.0833,17.0833,-5.0,487.6736,291.8403,-195.8333,0.1775,0.1658,-0.0117,187.0,199.0,12.0,5.61,5.97,0.36
sub-02,1.25,15.4167,14.1667,1.5625,237.6736,236.1111,0.1274,0.1774,0.05,237.0,203.0,-34.0,7.11,6.09,-1.02
sub-03,10.4167,19.5833,9.1666,108.5069,383.5069,275.0,0.1402,0.1482,0.008,215.0,193.0,-22.0,6.45,5.79,-0.66
sub-04,12.0833,13.3333,1.25,146.0069,177.7778,31.7709,0.1548,0.1638,0.009,211.0,208.0,-3.0,6.33,6.24,-0.09
sub-05,30.8333,31.25,0.4167,950.6944,976.5625,25.8681,0.1829,0.1942,0.0113,166.0,165.0,-1.0,4.98,4.95,-0.03
sub-06,51.25,37.9167,-13.3333,2626.5625,1437.6736,-1188.8889,0.189,0.1882,-0.0008,117.0,149.0,32.0,3.51,4.47,0.96
sub-07,15.0,36.6667,21.6667,225.0,1344.4444,1119.4444,0.1739,0.199,0.0251,204.0,152.0,-52.0,6.12,4.56,-1.56
sub-08,15.0,50.4167,35.4167,225.0,2541.8403,2316.8403,0.1541,0.1862,0.0321,204.0,119.0,-85.0,6.12,3.57,-2.55
sub-09,10.0,7.9167,-2.0833,100.0,62.6736,-37.3264,0.1518,0.1566,0.0048,216.0,221.0,5.0,6.48,6.63,0.15
sub-10,39.1667,47.9167,8.75,1534.0278,2296.0069,761.9791,0.1993,0.2051,0.0058,146.0,125.0,-21.0,4.38,3.75,-0.63
sub-11,49.1667,32.5,-16.6667,2417.3611,1056.25,-1361.1111,0.2095,0.1846,-0.0249,122.0,162.0,40.0,3.66,4.86,1.2
sub-12,80.8333,85.8333,5.0,6534.0278,7367.3611,833.3333,0.2,0.245,0.045,46.0,34.0,-12.0,1.38,1.02,-0.36
