subject,session,n_total,n_censored,pct_censored,n_retained,retained_min,max_gap_frames,max_gap_sec,n_blocks,mean_block_len_frames,median_block_len_frames,longest_retained_frames,longest_retained_sec,mean_retained_fd,max_retained_fd
sub-12,ses-01,240,194,80.83333333333333,46,1.38,20,36.0,45,4.31,3.0,2,3.6,0.2,0.2964
sub-12,ses-02,240,206,85.83333333333333,34,1.02,17,30.6,34,6.06,4.0,1,1.8,0.245,0.2992
sub-10,ses-02,240,115,47.916666666666664,125,3.75,17,30.6,37,3.11,2.0,17,30.6,0.2051,0.2979
sub-08,ses-02,240,121,50.416666666666664,119,3.57,14,25.2,32,3.78,3.0,15,27.0,0.1862,0.2978
sub-15,ses-02,240,105,43.75,135,4.05,10,18.0,44,2.39,2.0,14,25.2,0.1957,0.2999
sub-05,ses-01,240,74,30.833333333333332,166,4.98,10,18.0,33,2.24,2.0,25,45.0,0.1829,0.2989
sub-33,ses-01,240,101,42.083333333333336,139,4.17,9,16.2,57,1.77,1.0,7,12.6,0.1629,0.2976
sub-24,ses-02,240,76,31.666666666666668,164,4.92,9,16.2,36,2.11,2.0,30,54.0,0.1822,0.2997
sub-07,ses-02,240,88,36.666666666666664,152,4.56,9,16.2,44,2.0,1.0,28,50.4,0.199,0.2995
sub-29,ses-02,240,86,35.833333333333336,154,4.62,8,14.4,42,2.05,2.0,13,23.4,0.187,0.2996
sub-03,ses-02,240,47,19.583333333333332,193,5.79,8,14.4,24,1.96,1.0,37,66.6,0.1482,0.2957
sub-06,ses-01,240,123,51.25,117,3.51,8,14.4,73,1.68,1.0,7,12.6,0.189,0.2926
sub-26,ses-01,240,135,56.25,105,3.15,7,12.6,67,2.01,2.0,4,7.2,0.1759,0.2972
sub-15,ses-01,240,99,41.25,141,4.23,7,12.6,57,1.74,1.0,12,21.6,0.1956,0.2974
sub-21,ses-01,240,116,48.333333333333336,124,3.72,7,12.6,59,1.97,2.0,9,16.2,0.193,0.2999
sub-24,ses-01,240,78,32.5,162,4.86,7,12.6,35,2.23,2.0,29,52.2,0.1807,0.2999
sub-05,ses-02,240,75,31.25,165,4.95,6,10.8,35,2.14,2.0,16,28.8,0.1942,0.2997
