roi_id	roi_name	x	y	z	n_voxels
1	R_V1_ROI	10.0	-85.6	1.4	187
2	R_MST_ROI	41.9	-67.8	6.9	239
3	R_V6_ROI	15.0	-79.0	31.0	257
4	R_V2_ROI	10.0	-82.0	5.0	256
5	R_V3_ROI	16.0	-86.0	7.0	257
6	R_V4_ROI	28.0	-88.0	-1.0	257
7	R_V8_ROI	31.0	-77.0	-13.0	257
8	R_4_ROI	28.0	-20.0	55.0	257
9	R_3b_ROI	38.0	-23.0	54.0	257
10	R_FEF_ROI	41.0	-6.0	51.0	257
11	R_PEF_ROI	49.0	0.0	40.0	257
12	R_55b_ROI	49.0	-1.0	50.0	257
13	R_V3A_ROI	17.0	-91.0	28.0	257
14	R_RSC_ROI	6.0	-38.0	20.0	257
15	R_POS2_ROI	10.0	-73.0	39.0	257
16	R_V7_ROI	25.0	-85.0	30.0	257
18	R_FFC_ROI	43.0	-61.0	-19.0	257
19	R_V3B_ROI	27.0	-82.0	18.0	257
21	R_LO2_ROI	43.0	-87.0	-4.0	257
22	R_PIT_ROI	40.0	-85.0	-14.0	257
23	R_MT_ROI	45.0	-73.0	9.0	257
24	R_A1_ROI	43.9	-23.7	12.4	215
25	R_PSL_ROI	59.0	-46.0	24.0	257
26	R_SFL_ROI	9.0	16.0	64.0	257
27	R_PCV_ROI	6.0	-52.0	50.0	257
28	R_STV_ROI	62.0	-50.0	17.0	257
29	R_7Pm_ROI	6.0	-69.0	53.0	257
30	R_7m_ROI	4.0	-64.0	37.0	257
31	R_POS1_ROI	13.0	-59.0	15.0	257
33	R_v23ab_ROI	4.0	-59.0	19.0	257
34	R_d23ab_ROI	4.0	-43.0	31.0	257
35	R_31pv_ROI	11.0	-47.0	32.0	255
36	R_5m_ROI	7.0	-41.0	63.0	257
37	R_5mv_ROI	14.0	-37.0	50.0	257
38	R_23c_ROI	12.0	-31.0	43.0	257
39	R_5L_ROI	15.0	-47.0	72.0	257
40	R_24dd_ROI	7.0	-17.0	51.0	257
41	R_24dv_ROI	10.0	-3.0	45.0	257
42	R_7AL_ROI	21.0	-52.0	68.0	257
43	R_SCEF_ROI	7.0	3.0	58.0	257
44	R_6ma_ROI	19.0	3.0	68.0	257
45	R_7Am_ROI	9.0	-59.0	63.0	257
46	R_7PL_ROI	14.0	-73.0	57.0	257
49	R_VIP_ROI	24.0	-65.0	64.0	257
51	R_1_ROI	46.0	-27.0	58.0	257
52	R_2_ROI	38.0	-34.0	54.0	257
53	R_3a_ROI	35.0	-21.0	43.0	257
54	R_6d_ROI	35.0	-14.0	67.0	257
55	R_6mp_ROI	13.0	-15.0	71.0	257
56	R_6v_ROI	60.0	4.0	33.0	257
58	R_33pr_ROI	3.0	10.0	29.0	255
59	R_a24pr_ROI	6.0	17.0	31.0	257
61	R_a24_ROI	7.0	42.0	-3.0	257
62	R_d32_ROI	9.0	40.0	26.0	257
64	R_p32_ROI	12.0	50.0	-1.0	257
65	R_10r_ROI	8.0	52.0	-8.0	257
66	R_47m_ROI	37.0	32.0	-14.0	257
67	R_8Av_ROI	39.0	17.0	52.0	257
68	R_8Ad_ROI	24.0	26.0	44.0	257
69	R_9m_ROI	7.0	53.0	25.0	257
70	R_8BL_ROI	13.0	35.0	54.0	257
71	R_9p_ROI	20.0	45.0	40.0	257
72	R_10d_ROI	12.0	65.0	10.0	257
73	R_8C_ROI	43.0	13.0	38.0	257
74	R_44_ROI	54.0	15.0	13.0	257
75	R_45_ROI	51.0	26.0	3.0	257
76	R_47l_ROI	47.0	30.0	-10.0	257
77	R_a47r_ROI	42.0	48.0	-11.0	257
80	R_IFJp_ROI	41.0	3.0	30.0	257
81	R_IFSp_ROI	50.0	22.0	22.0	257
83	R_p9-46v_ROI	47.0	28.0	28.0	257
84	R_46_ROI	39.0	38.0	31.0	257
85	R_a9-46v_ROI	40.0	51.0	9.0	257
86	R_9-46d_ROI	30.0	46.0	23.0	257
87	R_9a_ROI	21.0	56.0	26.0	257
88	R_10v_ROI	5.0	53.0	-17.0	257
89	R_a10p_ROI	28.0	58.0	-5.0	257
90	R_10pp_ROI	15.0	62.0	-14.0	257
