roi_id	roi_name	x	y	z	n_voxels
1	Interoception_R_Insula	34.0	14.0	12.0	257
2	Interoception_L_DACC	0.0	4.0	48.0	257
3	Interoception_R_Thalamus	12.0	-14.0	4.0	257
4	Interoception_R_Parahippocampal	30.0	-4.0	-24.0	257
5	Interoception_L_Parahippocampal	-20.0	-4.0	-20.0	257
6	Interoception_L_Insula_1	-40.0	-2.0	2.0	257
7	Interoception_L_Insula_2	-36.0	24.1	4.2	244
8	Interoception_R_IPL	56.0	-26.0	26.0	257
9	Interoception_R_SFG	4.0	24.0	48.0	257
10	Interoception_L_STG	-56.0	6.0	6.0	257
11	Interoception_L_Postcentral	-48.0	-16.0	32.0	257
12	Exteroception_R_Fusiform	48.0	-58.0	-12.0	257
13	Exteroception_R_IFG	48.0	40.0	8.0	257
14	Exteroception_R_Premotor	50.5	8.2	26.2	208
15	Exteroception_R_Insula	40.0	8.0	0.0	257
16	Exteroception_L_Fusiform	-44.0	-68.0	-6.0	257
17	Exteroception_R_SPL	26.0	-72.0	44.0	257
18	Exteroception_R_Postcentral	58.0	-22.0	38.0	257
19	Exteroception_R_IPL	36.0	-50.0	56.0	257
20	Exteroception_L_Insula	-36.0	17.4	-4.3	196
21	Exteroception_R_IOG	38.0	-80.0	-2.0	257
22	Exteroception_L_IPL	-46.0	-34.0	40.0	257
23	Exteroception_L_SPL	-22.0	-64.0	50.0	257
24	Exteroception_R_Cingulate	4.0	8.0	38.0	257
25	Exteroception_L_mPFC	-6.0	60.0	22.0	257
26	Cognition_L_ACC	-6.0	48.0	0.0	257
27	Cognition_L_PCC	-4.0	-54.0	28.0	257
28	Cognition_L_Insula	-36.0	22.0	-2.0	257
29	Cognition_L_MTG	-48.0	-66.0	28.0	257
30	Cognition_L_Thalamus	-8.0	2.0	8.0	257
31	Cognition_L_SFG_1	-20.0	36.0	46.0	257
32	Cognition_Cingulate	0.0	-18.0	40.0	257
33	Cognition_L_ITG	-62.0	-6.0	-18.0	257
34	Cognition_R_MTG	54.0	-60.0	24.0	257
35	Cognition_R_Insula	52.0	10.0	-6.0	257
36	Cognition_L_SFG_2	-24.0	50.0	22.0	257
37	Cognition_R_Premotor	46.0	6.0	24.0	257
