subject,session,atlas,roi_pos_id,roi_name,p0_value,p0_label
sub-01,ses-01,nonself,91,R_52_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-01,ses-01,nonself,164,L_V3_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-01,ses-01,nonself,172,L_RSC_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-01,ses-01,nonself,206,L_2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-01,ses-01,nonself,221,L_9p_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-01,ses-02,nonself,11,R_PEF_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-01,ses-02,nonself,30,R_v23ab_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-01,ses-02,nonself,45,R_1_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-01,ses-02,nonself,146,R_PoI1_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-01,ses-02,nonself,153,R_LBelt_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-01,ses-02,nonself,225,L_45_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-01,ses-02,nonself,288,L_PFm_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-02,ses-01,nonself,12,R_55b_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-02,ses-01,nonself,31,R_d23ab_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-02,ses-01,nonself,169,L_PEF_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-02,ses-01,nonself,252,L_TA2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-02,ses-01,nonself,285,L_IP0_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-03,ses-01,self,30,Cognition_L_Thalamus,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-03,ses-01,nonself,252,L_TA2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-03,ses-01,nonself,269,L_STSda_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-03,ses-02,self,18,Exteroception_R_Postcentral,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-03,ses-02,nonself,62,R_9p_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-03,ses-02,nonself,69,R_IFJp_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-03,ses-02,nonself,132,R_VMV1_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-03,ses-02,nonself,152,R_MBelt_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-03,ses-02,nonself,231,L_IFSa_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-03,ses-02,nonself,288,L_PFm_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-04,ses-01,nonself,208,L_6d_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-04,ses-01,nonself,245,L_s6-8_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-04,ses-02,nonself,44,R_VIP_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-05,ses-01,self,32,Cognition_Cingulate,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-05,ses-01,nonself,245,L_s6-8_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-05,ses-01,nonself,249,L_52_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-05,ses-01,nonself,252,L_TA2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-05,ses-02,nonself,167,L_4_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-05,ses-02,nonself,262,L_H_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-07,ses-02,self,30,Cognition_L_Thalamus,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-07,ses-02,nonself,96,R_AVI_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-07,ses-02,nonself,213,L_a24pr_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-09,ses-01,nonself,100,R_FOP2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-09,ses-01,nonself,128,R_PFop_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-09,ses-01,nonself,245,L_s6-8_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-09,ses-01,nonself,252,L_TA2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-09,ses-01,nonself,269,L_STSda_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-09,ses-02,self,3,Interoception_R_Thalamus,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-09,ses-02,nonself,5,R_V3_ROI,7.790553220800402,lag-3 p0 (ACW-50 ≈ 5.4 s)
sub-09,ses-02,nonself,74,R_9-46d_ROI,7.790553220800402,lag-3 p0 (ACW-50 ≈ 5.4 s)
sub-09,ses-02,nonself,163,L_V2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-09,ses-02,nonself,263,L_ProS_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-01,nonself,91,R_52_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-01,nonself,92,R_RI_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-01,nonself,214,L_p32pr_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-01,nonself,282,L_PGp_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-01,nonself,288,L_PFm_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-01,nonself,293,L_PHA2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
