tau_value,count,n_self,n_nonself,matches_p0_candidate,candidate_label
5.193702147200268,279,33,246,Y,ACW-50 = 3.6 s (lag 2)
1.0,18,0,18,Y,NaN fallback (hardcoded 1.0)
7.790553220800402,6,0,6,Y,ACW-50 = 5.4 s (lag 3)
3.148489437329987,1,0,1,N,
3.2822649869365206,1,0,1,N,
1.9433333056192084,1,1,0,N,
2.231658497145736,1,0,1,N,
2.5859762764200047,1,1,0,N,
3.0268175938915163,1,0,1,N,
2.956012606260166,1,0,1,N,
3.5138061397755815,1,0,1,N,
2.8026625762411346,1,0,1,N,
2.3808018310789367,1,0,1,N,
3.1747318085022185,1,0,1,N,
3.5995635354251867,1,0,1,N,
2.321778538167217,1,0,1,N,
3.179346291396402,1,0,1,N,
2.1155663577473,1,0,1,N,
2.5904185030503877,1,0,1,N,
2.7849725643882866,1,0,1,N,
