"term","estimate","SE","df","t_value","p_value"
"(Intercept)",3.05345630753274,0.0574935181310173,35.8120757719608,53.1095749015474,1.17724345165102e-35
"groupverum",-0.014485455267499,0.0808797509096708,33.0950124559888,-0.1790986631954,0.85895221244313
"sessionses-02",0.0748375162768751,0.0706853774197192,33.1210445922972,1.05874112876983,0.297378332672692
"self_layerInteroception",-0.140095413928328,0.0508947644830295,726.613671682727,-2.75264883041244,0.00605903547301317
"self_layerExteroception",-0.125539501683499,0.0484186948407617,678.442790646624,-2.59278987375372,0.00972522172779564
"self_layerCognition",-0.0454141354261879,0.0495268493416394,1045.06679784795,-0.916959912247157,0.359375199637194
"groupverum:sessionses-02",0.0415731304665701,0.101423628275594,33.1210437768265,0.40989591058215,0.684521517486841
"groupverum:self_layerInteroception",0.0133148952473135,0.0372658299026858,21243.9984617774,0.357295014818759,0.720874510782094
"groupverum:self_layerExteroception",-0.0676876272681093,0.0349828253310406,21243.998438246,-1.93488166343298,0.0530180768756442
"groupverum:self_layerCognition",-0.045530078178056,0.0401081964847709,21243.9984439981,-1.13518138855592,0.256312133147376
"sessionses-02:self_layerInteroception",-0.0154714833011633,0.0367296029551178,21243.9984609248,-0.421226532725358,0.673593932936517
"sessionses-02:self_layerExteroception",-0.0914843336311003,0.0344794490827844,21243.9984345469,-2.65330033004438,0.00797682118485478
"sessionses-02:self_layerCognition",-0.0364232239725027,0.0395310700440168,21243.9984471118,-0.921382192081986,0.356861385804472
"groupverum:sessionses-02:self_layerInteroception",-0.0235213152183185,0.052701842061467,21243.998458154,-0.446309166781783,0.655378484514742
"groupverum:sessionses-02:self_layerExteroception",0.045781250082341,0.0494731860332867,21243.9984383902,0.925375011254346,0.35478138394207
"groupverum:sessionses-02:self_layerCognition",-0.0332602023802454,0.0567215554310879,21243.998446526,-0.586376768540027,0.557628582596478
