"term","estimate","SE","df","t_value","p_value"
"(Intercept)",3.01527831466578,0.0676080316387672,43.5307946491157,44.5994098863364,5.65402033993241e-38
"Groupverum",-0.00141673633507765,0.0917933510932034,35.0445156239881,-0.0154339755353212,0.987773493239126
"Timeses-02",0.190355510231758,0.0176463885904738,9408.94466160852,10.7872219437874,5.68659140327037e-27
"Category1",0.0747252545221876,0.0286430812985652,200.922043208795,2.60884133739936,0.00976797678468045
"Category2",-0.0249128161203917,0.0397390630634353,647.018213442354,-0.62691000239798,0.530939368978448
"Category3",-0.091012434735547,0.0359511047626286,549.031902391161,-2.53156155663275,0.0116334511266283
"Groupverum:Timeses-02",-0.0690538872371012,0.0253200990380117,9408.94466521349,-2.72723606386509,0.00639857356311076
"Groupverum:Category1",-0.0155407043225929,0.020442825260235,9408.94466267394,-0.760203353732248,0.44715208866739
"Groupverum:Category2",-0.04099003372014,0.0347217910114033,9408.94466160472,-1.1805276319611,0.237820269745552
"Groupverum:Category3",-0.0218800593314812,0.0304799104120977,9408.94466310901,-0.717851825535447,0.472866476846325
"Timeses-02:Category1",0.123762619743132,0.0201486685537404,9408.94466270227,6.14247137040513,8.45379508573419e-10
"Timeses-02:Category2",-0.0109130239942966,0.0342221708484616,9408.94466164369,-0.318887543476429,0.749818869074269
"Timeses-02:Category3",0.0441378204221352,0.0300413276845668,9408.94466189378,1.46923667574154,0.141802038914758
"Groupverum:Timeses-02:Category1",-0.0778256277613846,0.0289105207362476,9408.94466466981,-2.6919483212147,0.00711616343339402
"Groupverum:Timeses-02:Category2",0.0892939139991399,0.0491040277582108,9408.94466165988,1.81846414796817,0.0690250006001994
"Groupverum:Timeses-02:Category3",-0.00408750962273393,0.0431051026847055,9408.9446626932,-0.0948265835864546,0.924454590652962
