"term","estimate","SE","df","t_value","p_value"
"(Intercept)",3.88217181994545,0.0834711301110075,104.939875212687,46.5091560972349,7.38501596745399e-72
"sessionses-02",0.00145194208732671,0.0177279739948948,9405.99867851559,0.0819011855356307,0.934727034322254
"groupverum",-0.0523141260347315,0.086790836646729,35.3216298473812,-0.602760937167474,0.55051844791403
"self_layer1",0.0381708182825623,0.0670523013094828,143.279170396439,0.569269324648281,0.570064735787344
"self_layer2",-0.00384999712910196,0.0563772152928532,1363.66577209351,-0.0682899485031857,0.945564836831455
"self_layer3",-0.0304535815853782,0.0526722471631938,1148.22062582628,-0.578171299413602,0.563261846058246
"sessionses-02:groupverum",0.106959589255955,0.0254371667931913,9405.99867727909,4.20485465718551,2.63669656834018e-05
"sessionses-02:self_layer1",0.0932805671519199,0.0202424644283236,9405.9989333943,4.60816258228914,4.11589698726601e-06
"sessionses-02:self_layer2",-0.0274885753642416,0.0343802563623211,9405.99864703786,-0.799545386589018,0.423994430723492
"sessionses-02:self_layer3",-0.0201980960017912,0.0301801130845571,9405.99865015519,-0.669251832993509,0.50335127302329
"groupverum:self_layer1",-0.0272614421909567,0.0205380583097498,9405.99895549426,-1.32736219655269,0.184421114418356
"groupverum:self_layer2",0.0466542039497968,0.0348821889018458,9405.99864770442,1.33747925283806,0.181098589471122
"groupverum:self_layer3",-0.027662477065293,0.0306207270377429,9405.99865182966,-0.903390603077335,0.366341760305695
"sessionses-02:groupverum:self_layer1",-0.0778662911592718,0.02904513711364,9405.99893885121,-2.68087187382237,0.00735586795420642
"sessionses-02:groupverum:self_layer2",-0.00827935580255382,0.04933086047653,9405.99864726817,-0.167833192500116,0.866718117259294
"sessionses-02:groupverum:self_layer3",0.0278605053931715,0.0433042427347098,9405.9986504781,0.643366645708375,0.520001905286145
